FID,OBJECTID,Join_Count,TARGET_FID,SEQNUM,X,Y,CFCA_ID,SiteName,Hydroclass,EcoHydro_T,Wetland_Ty,Urban_Dens,SusceptGW,Stressed,Hydro_alt,Acres,Class,SFxZsuArea,SFxZsuAr_1,SFxZusArea,SFxZusAr_1,Lake_,Name,Row,Column_,Ranking,ZsuP_L1,ZusP_L1,ZsuR_L1,ZusR_L1,ZsuP_L3,ZusP_L3,ZsuR_L3,ZusR_L3,X_SP,Y_SP
0,1,0,1,33924.000000000000000,1524441.669000000000000,10456291.420000000000000,SJ-LB,Unnamed wetland Nr SR 46,1F Xeric Lakes,1F,Ridge,High,Moderate,YES,NO,3.937319000000000,Class 1,0.000053665656228,0.000065398868098,0.015459095503300,0.020169468472100,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0003880,0.0043008,0.0000136,0.0039263,0.0004529,0.0051317,0.0000166,0.0051226,540153.0000000,1627690.0000000
1,2,0,2,33925.000000000000000,1525691.666000000000000,10456291.420000000000000,SJ-LB,Unnamed wetland Nr SR 46,1F Xeric Lakes,1F,Ridge,High,Moderate,YES,NO,2.603783000000000,Class 1,0.000039056744013,0.000042962419836,0.011657735102400,0.013231669952700,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0004180,0.0046821,0.0000150,0.0044772,0.0004507,0.0051031,0.0000165,0.0050817,541404.0000000,1627690.0000000
2,3,0,3,46726.000000000000000,1521941.674000000100000,10415041.510000000000000,SJ-LH,Island Lake,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,8.871338000000000,Class 1,0.010716487500000,0.020492878660100,0.147889994762000,0.381173978823000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0012080,0.0166705,0.0000512,0.0204526,0.0023100,0.0429669,0.0001047,0.0503540,537652.0000000,1586430.0000000
3,4,0,4,46727.000000000000000,1523191.671000000100000,10415041.510000000000000,SJ-LH,Island Lake,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,1.685429000000000,Class 1,0.002012722459390,0.003960572870850,0.027681602495800,0.074605248091900,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0011942,0.0164241,0.0000506,0.0201450,0.0023499,0.0442648,0.0001068,0.0517203,538903.0000000,1586430.0000000
4,5,0,5,46728.000000000000000,1524441.669000000000000,10415041.510000000000000,SJ-LH,Island Lake,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,5.200857000000000,Class 1,0.001251482243600,0.012396970966600,0.012969220957700,0.236070651183000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0002406,0.0024937,0.0000070,0.0012669,0.0023836,0.0453907,0.0001085,0.0528992,540153.0000000,1586430.0000000
5,6,0,6,47114.000000000000000,1521941.674000000100000,10413791.510000000000000,SJ-LH,Island Lake,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,8.305400000000001,Class 1,0.010416216957000,0.019845669464500,0.145393494150000,0.378631569906000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0012541,0.0175059,0.0000534,0.0214901,0.0023895,0.0455886,0.0001088,0.0531058,537652.0000000,1585180.0000000
6,7,0,7,47115.000000000000000,1523191.671000000100000,10413791.510000000000000,SJ-LH,Island Lake,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,32.538997000000002,Class 1,0.025868828383800,0.080788149019100,0.322265255796000,1.589822861130000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0007950,0.0099040,0.0000322,0.0117210,0.0024828,0.0488590,0.0001137,0.0564958,538903.0000000,1585180.0000000
7,8,0,8,47116.000000000000000,1524441.669000000000000,10413791.510000000000000,SJ-LH,Island Lake,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,28.987691999999999,Class 1,0.004834277337780,0.074485902957700,0.047206745008400,1.510521135170000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0001668,0.0016285,0.0000038,0.0000000,0.0025696,0.0521091,0.0001183,0.0598208,540153.0000000,1585180.0000000
8,9,0,9,47117.000000000000000,1525691.666000000000000,10413791.510000000000000,SJ-LH,Island Lake,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,0.531220000000000,Class 1,0.000154547839495,0.001379025833880,0.001645772659770,0.028230184266200,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0002909,0.0030981,0.0000093,0.0021656,0.0025960,0.0531422,0.0001197,0.0608690,541404.0000000,1585180.0000000
9,10,0,10,47503.000000000000000,1523191.671000000100000,10412541.510000000000000,SJ-LH,Island Lake,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,22.670705000000002,Class 1,0.009503106036720,0.058524651536300,0.106486342084000,1.191884183500000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0004192,0.0046971,0.0000151,0.0044989,0.0025815,0.0525738,0.0001189,0.0602928,538903.0000000,1583930.0000000
10,11,0,11,47504.000000000000000,1524441.669000000000000,10412541.510000000000000,SJ-LH,Island Lake,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,25.101901999999999,Class 1,0.008012276179970,0.064785749634100,0.086430364039800,1.319115216510000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0003192,0.0034432,0.0000105,0.0026745,0.0025809,0.0525504,0.0001189,0.0602691,540153.0000000,1583930.0000000
11,12,0,12,47505.000000000000000,1525691.666000000000000,10412541.510000000000000,SJ-LH,Island Lake,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,0.094987000000000,Class 1,0.000025876358744,0.000244960068803,0.000273006880437,0.004984089482670,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0002724,0.0028741,0.0000084,0.0018338,0.0025789,0.0524713,0.0001188,0.0601888,541404.0000000,1583930.0000000
12,13,0,13,47891.000000000000000,1523191.671000000100000,10411291.510000000000000,SJ-LH,Island Lake,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,1.157378000000000,Class 1,0.002225198084260,0.002949519854830,0.036933982558100,0.059371073072000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0019226,0.0319118,0.0000853,0.0383646,0.0025484,0.0512979,0.0001171,0.0589949,538903.0000000,1582680.0000000
13,14,0,14,47892.000000000000000,1524441.669000000000000,10411291.510000000000000,SJ-LH,Island Lake,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,4.852157000000000,Class 1,0.006411300453780,0.012371884622400,0.090994929479100,0.249149718192000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0013213,0.0187535,0.0000565,0.0230253,0.0025498,0.0513482,0.0001172,0.0590462,540153.0000000,1582680.0000000
14,15,0,15,47893.000000000000000,1525691.666000000000000,10411291.510000000000000,SJ-LH,Island Lake,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,0.041044000000000,Class 1,0.000013939362868,0.000104419626634,0.000151666198267,0.002098668728870,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0003396,0.0036952,0.0000114,0.0030442,0.0025441,0.0511322,0.0001169,0.0588258,541404.0000000,1582680.0000000
15,16,0,16,51648.000000000000000,1369441.979000000100000,10398791.539999999000000,SJ-QA,Church lake,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,YES,13.970715999999999,Class 1,0.001035369778840,0.001370387537920,0.448532475086000,0.643726156633000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0016923,0.0263979,0.0000741,0.0321052,0.0021796,0.0389527,0.0000981,0.0460768,385100.0000000,1570170.0000000
16,17,0,17,51649.000000000000000,1370691.976000000000000,10398791.539999999000000,SJ-QA,Church lake,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,YES,10.506195999999999,Class 1,0.000012292249516,0.001038012195150,0.000000000000000,0.488778162803000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0001057,0.0009335,0.0000012,0.0000000,0.0021936,0.0393677,0.0000988,0.0465228,386351.0000000,1570170.0000000
17,18,0,18,51650.000000000000000,1371941.973999999900000,10398791.539999999000000,SJ-QA,Church lake,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,YES,7.296795000000000,Class 1,0.000019190570312,0.000724790634164,0.000000000000000,0.341920950939000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0001398,0.0013190,0.0000026,0.0000000,0.0022041,0.0396812,0.0000993,0.0468591,387601.0000000,1570170.0000000
18,19,1,19,52036.000000000000000,1369441.979000000100000,10397541.539999999000000,SJ-QA,Church lake,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,YES,20.068612000000002,Class 1,0.000900277941219,0.001979166575100,0.350197263909000,0.931443904172000,73.000000000000000,CHURCH LAKE NR GROVELAND,135.000000000000000,44.000000000000000,L,0.0010710,0.0142894,0.0000449,0.0174500,0.0021902,0.0392654,0.0000986,0.0464130,385100.0000000,1568920.0000000
19,20,1,20,52037.000000000000000,1370691.976000000000000,10397541.539999999000000,SJ-QA,Church lake,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,YES,24.613415000000000,Class 1,0.001104157805360,0.002508106924240,0.429504072751000,1.193884258120000,73.000000000000000,CHURCH LAKE NR GROVELAND,135.000000000000000,45.000000000000000,L,0.0010710,0.0142894,0.0000449,0.0174500,0.0022547,0.0412228,0.0001019,0.0485054,386351.0000000,1568920.0000000
20,21,0,21,52038.000000000000000,1371941.973999999900000,10397541.539999999000000,SJ-QA,Church lake,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,YES,13.452389999999999,Class 1,0.000080579814260,0.001347525909310,0.011410989789800,0.637547787930000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0002170,0.0022143,0.0000060,0.0008482,0.0022206,0.0401798,0.0001002,0.0473929,387601.0000000,1568920.0000000
21,22,0,22,52424.000000000000000,1369441.979000000100000,10396291.539999999000000,SJ-QA,Church lake,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,YES,8.950904000000000,Class 1,0.000424362372700,0.000888824762005,0.166907858740000,0.419278690988000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0011262,0.0152321,0.0000474,0.0186470,0.0022036,0.0396653,0.0000993,0.0468420,385100.0000000,1567670.0000000
22,23,0,23,52425.000000000000000,1370691.976000000000000,10396291.539999999000000,SJ-QA,Church lake,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,YES,8.717848000000000,Class 1,0.000004969173338,0.000910927921771,0.000000000000000,0.437625061025000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000919,0.0007784,0.0000006,0.0000000,0.0023054,0.0428199,0.0001045,0.0501987,386351.0000000,1567670.0000000
23,24,0,24,52426.000000000000000,1371941.973999999900000,10396291.539999999000000,SJ-QA,Church lake,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,YES,4.041789000000000,Class 1,0.000048380213652,0.000409190728667,0.013157073834300,0.194339759055000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0003512,0.0038396,0.0000120,0.0032553,0.0022418,0.0408258,0.0001012,0.0480826,387601.0000000,1567670.0000000
24,25,0,25,52588.000000000000000,1574441.568999999900000,10396291.539999999000000,SJ-AJ,Lake Gem,1E Flatland Lakes,1E,Plain,High,Moderate,YES,YES,7.526740000000000,Class 1,0.000682976407422,0.019830024843400,0.005759386136390,0.411682579413000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000907,0.0007652,0.0000005,0.0000000,0.0026346,0.0546960,0.0001218,0.0624380,590170.0000000,1567670.0000000
25,26,0,26,54851.000000000000000,1493191.730999999900000,10388791.560000001000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,0.106942000000000,Class 1,0.000003423213497,0.000015756834743,0.001243693787100,0.009072223817390,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0007905,0.0098357,0.0000320,0.0116296,0.0030848,0.0778019,0.0001473,0.0848331,508893.0000000,1560170.0000000
26,27,0,27,54852.000000000000000,1494441.729000000100000,10388791.560000001000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,2.377497000000000,Class 1,0.000000261524675,0.000356838515620,0.000000000000000,0.208464403577000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000812,0.0006585,0.0000001,0.0000000,0.0031296,0.0808600,0.0001501,0.0876823,510143.0000000,1560170.0000000
27,28,0,28,55236.000000000000000,1489441.739000000100000,10387541.560000001000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,0.002672000000000,Class 1,0.000000156605919,0.000000379530862,0.000064312502474,0.000212773317337,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0013663,0.0196095,0.0000586,0.0240691,0.0029961,0.0722853,0.0001420,0.0796307,505141.0000000,1558920.0000000
28,29,0,29,55237.000000000000000,1490691.736000000000000,10387541.560000001000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,8.054036000000000,Class 1,0.000333195469019,0.001147378008900,0.127548143194000,0.644536611403000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0009952,0.0130328,0.0000414,0.0158365,0.0030032,0.0727020,0.0001425,0.0800265,506392.0000000,1558920.0000000
29,30,0,30,55238.000000000000000,1491941.733999999900000,10387541.560000001000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,9.234465999999999,Class 1,0.000001108135880,0.001318866478810,0.000000000000000,0.742177555133000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000814,0.0006611,0.0000001,0.0000000,0.0030093,0.0730643,0.0001428,0.0803704,507642.0000000,1558920.0000000
30,31,0,31,55239.000000000000000,1493191.730999999900000,10387541.560000001000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,12.803832000000000,Class 1,0.000001536459785,0.001923519683210,0.000000000000000,1.124467453290000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000813,0.0006602,0.0000001,0.0000000,0.0031318,0.0810114,0.0001502,0.0878227,508893.0000000,1558920.0000000
31,32,0,32,55240.000000000000000,1494441.729000000100000,10387541.560000001000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,13.993732000000000,Class 1,0.000001399373216,0.002119070763020,0.000000000000000,1.246965324890000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000809,0.0006560,0.0000001,0.0000000,0.0031511,0.0824008,0.0001514,0.0891088,510143.0000000,1558920.0000000
