CFCA/EMT ID,Site Name,Original Status Assessment,Stress Status in 2018,Physiographic Region,Wetland Type,Hydrologically Altered,Edge Reference Elevation (ft NGVD 29),Conversion Factor to NAVD 88,Edge Reference Elevation (ft NAVD 88),Longitude,Latitude,Urban Density
SF-LA,Walker Ranch - WR11,Not Stressed,Not Stressed,Plain,1A,No,67.68,-1.08,66.6,-81.404507,28.083626,Low
SF-LB,Walker Ranch - WR6,Not Stressed,Not Stressed,Plain,1A,No,64.47,-1.05,63.42,-81.412562,28.113903,Low 
SF-N1,Walker Ranch WR-16,NA,Not Stressed,Plain,1A,No,64.8,-1.09,63.71,-81.392284,28.077793,Low 
SF-N2,Walker Ranch WR-15,NA,Not Stressed,Plain,1A,No,64.14,-1.09,63.05,-81.390062,28.082236,Low 
SF-WT,Split Oak,NA,Stressed,Plain,1A,No,NA,NA,68.45,-81.20890235,28.3584259,Moderate
SF-XZ,Walker Ranch - WR9,Not Stressed,Not Stressed,Plain,1A,No,68.34,-1.05,67.29,-81.418795,28.109258,Low 
SF-YK,Tibet Butler,Stressed,Not Stressed,Plain,1A,No,101.57,-0.87,100.70,-81.537112,28.446165,Moderate
SJ-AJ,Lake Gem,Stressed,Not Stressed,Plain,1E,Yes,53.39,-1.07,52.32,-81.207313,28.645854,High
SJ-GA,Prairie Lake,NA,Stressed,Ridge,1F,No,NA,NA,78.53,-81.5113,28.59775,High
SJ-LA,Unnamed Cypress,Not Stressed,Not Stressed,Plain,1A,No,70.44,-1.09,69.35,-81.1197,28.566632,Moderate
SJ-LB,Unnamed Wetland Nr SR 46,Stressed,Stressed,Ridge,1E,No,69.37,-1.02,68.35,-81.360359,28.810519,High
SJ-LC,Boggy Marsh,Stressed,Stressed,Plain,1A,No,118.82,-0.86,117.96,-81.697514,28.39695,Moderate
SJ-LD,Hopkins Prairie,Not Stressed,Not Stressed,Ridge,1F,No,27.5,-1.01,26.49,-81.693251,29.27491,Low
SJ-LE,Lake Avalon,Stressed,Stressed,Ridge,1F,No,96.68,-0.88,95.8,-81.64274,28.51018,High
SJ-LF,Lake Apshawa,Stressed,Stressed,Ridge,1F,No,87.65,-0.89,86.76,-81.77333,28.59964,Moderate
SJ-LH,Island Lake,Stressed,Not Stressed,Plain,2A-M,No,87.49,-1.04,86.45,-81.363091,28.696596,High
SJ-LI,Lake Sylvan,Not Stressed,Stressed,Plain,1E,No,NA,NA,42.01,-81.379811,28.803797,Low
SJ-LJ,Lake Louisa,NA,Stressed,Ridge,2F,No,97.29,-0.87,96.42,-81.74695,28.46346,Moderate
SJ-LL,"City of Cocoa, Well 9T",Not Stressed,Not Stressed,Plain,2D,No,74.14,-1.14,73,-81.053314,28.394303,Low
SJ-N1,Red Bug Lake,NA,Stressed,Plain,1E,No,69.61,-1.06,68.55,-81.290839,28.648639,Moderate
SJ-N2,Chapman Marsh,NA,Stressed,Plain,2A-M,No,66.96,-1.07,65.89,-81.193906,28.641028,Moderate
SJ-QA,Church Lake,Stressed,Stressed,Ridge,1F,Yes,90.37,-0.88,89.49,-81.841699,28.644937,Moderate
