CFCA/EMT ID,Site Name,Original Status Assessment,Stress Status in 2018,Physiographic Region,Wetland Type,Hydrologically Altered,Edge Reference Elevation (ft NGVD 29),Conversion Factor to NAVD 88,Edge Reference Elevation (ft NAVD 88),Longitude,Latitude,Urban Density,STATION,2006-2011_P80,2006-2012_P80,2006-2013_P80,2006-2014_P80,2006-2015_P80,2006-2016_P80,2006-2017_P80,2007-2017_P80,2008-2017_P80,2009-2017_P80,2010-2017_P80,2011-2017_P80
SF-LA,Walker Ranch - WR11,Not Stressed,Not Stressed,Plain,1A,No,67.68,-1.08,66.60000000000001,-81.404507,28.083626,Low,WR11_GW1,63.14,63.06,63.07,63.2,63.38,63.524,63.54,63.814,64.07,64.11,64.242,64.142
SF-LB,Walker Ranch - WR6,Not Stressed,Not Stressed,Plain,1A,No,64.47,-1.05,63.42,-81.412562,28.113903,Low,WR6_GW1,60.41,60.29,60.11,60.3,60.46,60.58,60.54,60.71,60.904,60.76,60.832,60.682
SF-N1,Walker Ranch WR-16,NA,Not Stressed,Plain,1A,No,64.8,-1.09,63.709999999999994,-81.392284,28.077793,Low,WR16_GW1,60.54,60.48,60.54,60.69,60.862,61.014,61.03,61.3,61.56,61.75,61.87,61.76
SF-N2,Walker Ranch WR-15,NA,Not Stressed,Plain,1A,No,64.14,-1.09,63.05,-81.390062,28.082236,Low,WR15_GW1,58.44,58.392,58.412,58.54,58.73,58.88,58.89,59.16,59.42,59.57,59.682,59.6
SF-WT,Split Oak,NA,Stressed,Plain,1A,No,NA,NA,68.45,-81.20890235,28.3584259,Moderate,SPLITOAK,64.726,64.88,64.606,64.768,64.93,65.11,65.1,65.1,65.1,65.042,65.18,65.12
SF-XZ,Walker Ranch - WR9,Not Stressed,Not Stressed,Plain,1A,No,68.34,-1.05,67.29,-81.418795,28.109258,Low,WR9_GW1,63.48,63.41,63.24,63.4,63.51,63.624,63.62,63.75,63.91,63.82,63.95,63.782
SF-YK,Tibet Butler,Stressed,Not Stressed,Plain,1A,No,101.57,-0.8699999999999903,100.7,-81.537112,28.446165,Moderate,TB2_GW1,97.7,97.6,97.63,97.7123333333333,97.76,97.82,97.82,97.83,97.98,98.01,98.062,98.03
SJ-EV,Long Lake,Stressed,Stressed,Ridge,1F,No,68.81,-0.93,67.88,-81.469958,28.617014,High,Long Lake,57.4030947368421,56.8089696969697,56.482,56.7795242105263,57.0208811188811,57.3478452012384,57.3368985507246,57.1815428571429,57.442,57.8873212121212,57.8306607142857,57.56
SJ-LA,Unnamed Cypress,Not Stressed,Not Stressed,Plain,1A,No,70.44,-1.09,69.35,-81.1197,28.566632,Moderate,Unnamed Cypress SJ-LA,68.19,68.15,68.17,68.2,68.22,68.1214285714286,68.064,68.05,68.0275,68.003,68.025,68.0184615384615
SJ-LB,Unnamed Wetland Nr SR 46,Stressed,Stressed,Ridge,1E,No,69.37,-1.02,68.35,-81.360359,28.810519,High,Unnamed Wetland South of 46,60.3329428571429,60.100227032967,59.5923742857143,59.095965,58.9301769230769,58.8961933333333,58.81,58.7499692307692,58.73665,58.6804534285714,58.6260473333333,58.5739795238095
SJ-LC,Boggy Marsh,Stressed,Stressed,Plain,1A,No,118.82,-0.86,117.96,-81.697514,28.39695,Moderate,Boggy Marsh SJ-LC,112.944893145524,113.075,113.32621815201,113.595744360902,114.209884976526,114.783257837492,114.873220020855,114.805833333333,115.307142857143,115.615903743316,115.71,115.669266968326
