OBJECTID,CFCA_ID,Stressed,Class,SUM_ACRES_COMB,ORIG_FID,XCOORD_UTM,YCOORD_UTM
1,SF-AC,NO,Class 2,9.449571286271512,1,458202.0937500,3082114.2500000
2,SF-AD,YES,Class 2,2.413648674822376,2,458869.6875000,3082061.5000000
3,SF-AF,YES,Class 2,34.177232261683805,3,451295.3437500,3141196.7500000
4,SF-AG,NO,Class 2,5.422378194195392,4,452021.1250000,3104116.0000000
5,SF-AJ,NO,Class 2,29.055077011619062,5,449890.1562500,3116357.0000000
6,SF-AL,NO,Class 2,12.506969877746927,6,454494.5000000,3125012.0000000
7,SF-AM,NO,Class 2,20.536499538480612,7,437222.5312500,3127293.0000000
8,SF-AN,NO,Class 2,52.630108745719518,8,440072.1875000,3128474.7500000
9,SF-AU,NO,Class 2,55.165639566594095,9,445374.2812500,3120783.2500000
10,SF-BG,NO,Class 2,77.102486729124365,10,446414.7500000,3149142.7500000
11,SF-BX,YES,Class 2,15.558841224953269,11,460825.0312500,3150760.2500000
12,SF-BY,YES,Class 2,63.926205629597874,12,455843.6250000,3154990.0000000
13,SF-BZ,YES,Class 2,35.259049787839352,13,456451.7500000,3153707.2500000
14,SF-CB,YES,Class 2,3.189724865067321,14,470215.2187500,3138621.5000000
15,SF-CE,YES,Class 2,71.212303095171777,15,458511.5937500,3146395.5000000
16,SF-CG,NO,Class 2,5.228701452149593,16,473817.1875000,3119276.0000000
17,SF-CH,YES,Class 2,69.390189227050627,17,473590.8750000,3118027.0000000
18,SF-CJ,NO,Class 2,1.543623529607452,18,467782.5000000,3122170.5000000
19,SF-CN,YES,Class 2,21.588850140909813,19,472284.8750000,3136301.2500000
20,SF-CP,NO,Class 2,7.551050924504846,20,463510.1875000,3131988.2500000
21,SF-CQ1,YES,Class 2,31.822873582007212,21,466171.3437500,3130379.2500000
22,SF-CT,NO,Class 2,44.236611959551318,22,463803.9375000,3142211.7500000
23,SF-CY,NO,Class 2,16.739950180631691,23,492887.0000000,3093409.5000000
24,SF-DI,YES,Class 2,6.379432388173972,24,459458.6562500,3145771.2500000
