OBJECTID,CFCA_ID,Wetland_Ty,Stressed,Class,SUM_ACRES_COMB,Shape_Length,Shape_Area,Latitude,Longiitude
1,SF-AC,Plain,NO,Class 2,9.449571286271512,1428.161907306175600,38241.058248502944000,27.8631401,-81.4245758
2,SF-AD,Plain,YES,Class 2,2.413648674822376,364.536592771609380,9767.689640859667600,27.8626862,-81.4177933
3,SF-AF,Ridge,YES,Class 2,34.177232261683805,3104.736675084973700,138310.351877890240000,28.3962326,-81.4971848
4,SF-AG,Ridge,NO,Class 2,5.422378194195392,1122.095367558874400,21943.586019707946000,28.0615444,-81.4882507
5,SF-AJ,Plain,NO,Class 2,29.055077011619062,3247.775029561186800,117581.725007329030000,28.1719608,-81.5104599
6,SF-AL,Plain,NO,Class 2,12.506969877746927,1503.434952447322800,50613.911374383824000,28.2502537,-81.4638901
7,SF-AM,Ridge,NO,Class 2,20.536499538480612,2184.605943000356500,83108.265051302762000,28.2701340,-81.6400833
8,SF-AN,Ridge,NO,Class 2,52.630108745719518,3346.910185690278000,212986.493588908580000,28.2809334,-81.6110916
9,SF-AU,Ridge,NO,Class 2,55.165639566594095,6353.591589276886200,223247.422776237920000,28.2117348,-81.5566635
10,SF-BG,Ridge,NO,Class 2,77.102486729124365,4064.937329026616200,312022.693603390420000,28.4677639,-81.5473709
11,SF-BX,Ridge,YES,Class 2,15.558841224953269,1382.946561293659700,62964.396536104970000,28.4828758,-81.4002304
12,SF-BY,Ridge,YES,Class 2,63.926205629597874,3767.350559930773200,258700.175811695170000,28.5208969,-81.4512863
13,SF-BZ,Plain,YES,Class 2,35.259049787839352,2885.978809704225600,142688.312080622590000,28.5093403,-81.4450226
14,SF-CB,Plain,YES,Class 2,3.189724865067321,409.116943413607030,12908.358555678324000,28.3735523,-81.3039856
15,SF-CE,Plain,YES,Class 2,71.212303095171777,2402.228216988507900,288185.966135083460000,28.4434071,-81.4237061
16,SF-CG,Plain,NO,Class 2,5.228701452149593,764.201052636986900,21159.804052437994000,28.1990013,-81.2667847
17,SF-CH,Plain,YES,Class 2,69.390189227050627,4497.035304738265000,280812.132924600560000,28.1877232,-81.2690659
