"","Layer","Class","Stress","Phys","Initial","Delta"
"1",1,1,"Stressed","Ridge",1396.26,7.07
"2",1,1,"Stressed","Plain",752.68,7.13
"3",1,2,"Stressed","Ridge",3200.42,85.33
"4",1,2,"Stressed","Plain",62.39,0
"5",1,3,"Stressed","Ridge",13858.01,110.52
"6",1,3,"Stressed","Plain",23098.7,57.3
"7",1,1,"Unstressed","Ridge",4129.99,22.26
"8",1,1,"Unstressed","Plain",439.29,19.3
"9",1,2,"Unstressed","Ridge",8091.63,108.88
"10",1,2,"Unstressed","Plain",0,0
"11",1,3,"Unstressed","Ridge",19233.54,377.4
"12",1,3,"Unstressed","Plain",108304.98,1059.33
"13",3,1,"Stressed","Ridge",1396.26,0.92
"14",3,1,"Stressed","Plain",0,0
"15",3,2,"Stressed","Ridge",3200.42,11.77
"16",3,2,"Stressed","Plain",0,0
"17",3,3,"Stressed","Ridge",13858.01,23.49
"18",3,3,"Stressed","Plain",0,0
"19",3,1,"Unstressed","Ridge",4129.99,891.7
"20",3,1,"Unstressed","Plain",0,0
"21",3,2,"Unstressed","Ridge",8091.63,289.2
"22",3,2,"Unstressed","Plain",0,0
"23",3,3,"Unstressed","Ridge",19233.54,3030.37
"24",3,3,"Unstressed","Plain",0,0
