"","Layer","Class","Stress","Phys","Initial","Delta"
"1",1,1,"Stressed","Ridge",1396.26,8.92
"2",1,1,"Stressed","Plain",752.68,1.42
"3",1,2,"Stressed","Ridge",3200.42,238.38
"4",1,2,"Stressed","Plain",62.39,3.44
"5",1,3,"Stressed","Ridge",13858.01,929.78
"6",1,3,"Stressed","Plain",23098.7,1076.01
"7",1,1,"Unstressed","Ridge",4129.99,1.84
"8",1,1,"Unstressed","Plain",439.29,2.45
"9",1,2,"Unstressed","Ridge",8091.63,123.38
"10",1,2,"Unstressed","Plain",0,0
"11",1,3,"Unstressed","Ridge",19233.54,192.79
"12",1,3,"Unstressed","Plain",108304.98,243.09
"13",3,1,"Stressed","Ridge",1396.26,285.87
"14",3,1,"Stressed","Plain",0,0
"15",3,2,"Stressed","Ridge",3200.42,805.41
"16",3,2,"Stressed","Plain",0,0
"17",3,3,"Stressed","Ridge",13858.01,4477.21
"18",3,3,"Stressed","Plain",0,0
"19",3,1,"Unstressed","Ridge",4129.99,155.71
"20",3,1,"Unstressed","Plain",0,0
"21",3,2,"Unstressed","Ridge",8091.63,49.23
"22",3,2,"Unstressed","Plain",0,0
"23",3,3,"Unstressed","Ridge",19233.54,800.41
"24",3,3,"Unstressed","Plain",0,0
