"","Layer","Class","Stress","Phys","Initial","Delta"
"1",1,1,"Stressed","Ridge",1396.26,12.69
"2",1,1,"Stressed","Plain",752.68,5.46
"3",1,2,"Stressed","Ridge",3200.42,116.54
"4",1,2,"Stressed","Plain",62.39,0.17
"5",1,3,"Stressed","Ridge",13858.01,176.68
"6",1,3,"Stressed","Plain",23098.7,126.93
"7",1,1,"Unstressed","Ridge",4129.99,3.51
"8",1,1,"Unstressed","Plain",439.29,26.78
"9",1,2,"Unstressed","Ridge",8091.63,91.48
"10",1,2,"Unstressed","Plain",0,0
"11",1,3,"Unstressed","Ridge",19233.54,198.43
"12",1,3,"Unstressed","Plain",108304.98,527.65
"13",3,1,"Stressed","Ridge",1396.26,17.05
"14",3,1,"Stressed","Plain",0,0
"15",3,2,"Stressed","Ridge",3200.42,43.45
"16",3,2,"Stressed","Plain",0,0
"17",3,3,"Stressed","Ridge",13858.01,359.62
"18",3,3,"Stressed","Plain",0,0
"19",3,1,"Unstressed","Ridge",4129.99,137.5
"20",3,1,"Unstressed","Plain",0,0
"21",3,2,"Unstressed","Ridge",8091.63,178.37
"22",3,2,"Unstressed","Plain",0,0
"23",3,3,"Unstressed","Ridge",19233.54,530.95
"24",3,3,"Unstressed","Plain",0,0
