"","Layer","Class","Stress","Phys","Initial","Delta"
"1",1,1,"Stressed","Ridge",1396.26,14.26
"2",1,1,"Stressed","Plain",752.68,13.3
"3",1,2,"Stressed","Ridge",3200.42,150.22
"4",1,2,"Stressed","Plain",62.39,0
"5",1,3,"Stressed","Ridge",13858.01,197.6
"6",1,3,"Stressed","Plain",23098.7,110.06
"7",1,1,"Unstressed","Ridge",4129.99,46.6
"8",1,1,"Unstressed","Plain",439.29,41.83
"9",1,2,"Unstressed","Ridge",8091.63,221.66
"10",1,2,"Unstressed","Plain",0,0
"11",1,3,"Unstressed","Ridge",19233.54,777.25
"12",1,3,"Unstressed","Plain",108304.98,2252.56
"13",3,1,"Stressed","Ridge",1396.26,1.25
"14",3,1,"Stressed","Plain",0,0
"15",3,2,"Stressed","Ridge",3200.42,21.86
"16",3,2,"Stressed","Plain",0,0
"17",3,3,"Stressed","Ridge",13858.01,36.01
"18",3,3,"Stressed","Plain",0,0
"19",3,1,"Unstressed","Ridge",4129.99,1806.44
"20",3,1,"Unstressed","Plain",0,0
"21",3,2,"Unstressed","Ridge",8091.63,596.5
"22",3,2,"Unstressed","Plain",0,0
"23",3,3,"Unstressed","Ridge",19233.54,5870.46
"24",3,3,"Unstressed","Plain",0,0
