OBJECTID,HOB_ID,commonName,aquiferFinal,casingLevel,wellLevel,COUNTY,WMD,GW_Basin,Row,Column_,lyr201808,ROW_COL,CFWI_YN,el03ss201811,LAYER,wt201811,cmt201811,lat,lon,CFWI
1,wl_1,BEF-1559,,-9999.99,-9999.99,BREVARD,SJRWMD,East-Central Florida,372,622,3,372_622,N,40.37095701,3,0,,27.83446845,-80.55032777,N
2,wl_2,BEF-INLET,,-9999.99,-9999.99,INDIAN RIVER,SJRWMD,East-Central Florida,369,647,3,369_647,N,35.17815128,3,0,,27.84501059,-80.45258279,N
3,wl_3,BEF-T6,,-9999.99,-9999.99,BREVARD,SJRWMD,East-Central Florida,369,551,3,369_551,N,42.59894058,3,1,,27.84598328,-80.82392067,N
13,wl_15,IRF-1008,,-9999.99,-9999.99,INDIAN RIVER,SJRWMD,Eastern South Florida,430,667,3,430_667,N,31.76000429,3,0,,27.63503053,-80.3769926,N
14,wl_16,IRF-210,,-9999.99,-9999.99,INDIAN RIVER,SJRWMD,Eastern South Florida,416,643,3,416_643,N,33.7753687,3,1,,27.6822504,-80.47005065,N
15,wl_18,IRF-BERRY,,-9999.99,-9999.99,INDIAN RIVER,SJRWMD,East-Central Florida,402,606,3,402_606,N,40.30980759,3,0,,27.73086036,-80.61227567,N
16,wl_20,IRF-MACE,,-9999.99,-9999.99,INDIAN RIVER,SJRWMD,East-Central Florida,376,540,3,376_540,N,52.18069697,3,0,,27.82141224,-80.86839064,N
17,wl_21,IRF-RO,,-9999.99,-9999.99,INDIAN RIVER,SJRWMD,Eastern South Florida,442,661,3,442_661,N,36.63428984,3,0,,27.59364244,-80.40032655,N
42,wl_47,OKF-WIL,,-9999.99,-9999.99,OKEECHOBEE,SJRWMD,East-Central Florida,467,530,3,467_530,N,47.31026038,3,1,,27.50809158,-80.9056166,N
43,wl_48,OSF-42,,69.537,69.537,OSCEOLA,SJRWMD,East-Central Florida,406,513,3,406_513,Y,45.17107113,3,1,,27.71891542,-80.97310973,Y
44,wl_49,OSF-60A,,-1.253,-1.253,OSCEOLA,SJRWMD,East-Central Florida,412,533,2,412_533,Y,44.90799399,2,0,,27.6972516,-80.89644613,Y
63,wl_70,SFWMD05134,,41.566,38.566,OKEECHOBEE,SJRWMD,East-Central Florida,471,556,1,471_556,N,57.97275,1,1,,27.49253632,-80.8058848,N
64,wl_71,SFWMD05140,,50.103,45.103,OSCEOLA,SJRWMD,East-Central Florida,380,501,1,380_501,Y,69.84675,1,0,sjr_tr10_calibchg,27.80808039,-81.01895088,Y
169,wl_176,SJRWMD00660060,UFA,-5.836547852,-330.8365479,LAKE,SJRWMD,East-Central Florida,199,322,5,199_322,Y,107.0355457,5,1,,28.42847835,-81.71662755,Y
170,wl_177,SJRWMD01140470,AVPK,-481.0057373,-524.49,SEMINOLE,SJRWMD,Middle StJohns,95,483,4,95_483,Y,14.18924003,4,1,,28.78733733,-81.08759834,Y
171,wl_178,SJRWMD01140471,ICU,-36.0057373,-35.12,SEMINOLE,SJRWMD,Middle StJohns,95,483,2,95_483,Y,13.18455508,2,0,,28.78733733,-81.08759834,Y
172,wl_179,SJRWMD01140472,SAS,9.994262695,10.79,SEMINOLE,SJRWMD,Middle StJohns,95,483,1,95_483,Y,16.45541667,1,1,,28.78733733,-81.08759834,Y
173,wl_180,SJRWMD01150480,UFA,-547.4489036,-645.23,BREVARD,SJRWMD,East-Central Florida,361,647,3,361_647,N,34.49825988,3,1,,27.86982497,-80.45471381,N
174,wl_181,SJRWMD01160485,SAS,,-84.46,INDIAN RIVER,SJRWMD,Eastern South Florida,422,659,1,422_659,N,8.399374884,1,1,,27.66214979,-80.40715791,N
175,wl_182,SJRWMD01270536,SAS,30.95784378,22.49,SEMINOLE,SJRWMD,Middle StJohns,116,475,1,116_475,Y,42.73375,1,1,,28.71382902,-81.11883423,Y
176,wl_183,SJRWMD01700790,ICU,-37.52474213,-43.36,BREVARD,SJRWMD,East-Central Florida,213,566,1,213_566,N,20.72416667,1,1,,28.38237136,-80.76695918,N
177,wl_184,SJRWMD01700791,SAS,2.475257874,-3.5,BREVARD,SJRWMD,East-Central Florida,213,566,1,213_566,N,19.98083333,1,0,,28.38237136,-80.76695918,N
178,wl_185,SJRWMD01840090,UFA,39.57577515,19.57577515,LAKE,SJRWMD,East-Central Florida,200,322,3,200_322,Y,107.9407702,3,1,,28.42451722,-81.71319412,Y
179,wl_186,SJRWMD01840092,SAS,88.57577515,78.57577515,LAKE,SJRWMD,East-Central Florida,200,322,1,200_322,Y,109.7816667,1,1,,28.42451722,-81.71319412,Y
180,wl_187,SJRWMD01850094,UFA,-273.7813568,-310.74,SEMINOLE,SJRWMD,Middle StJohns,110,476,5,110_476,Y,18.73575979,4,1,sjr_tr10_calibchg,28.73647064,-81.11689258,Y
181,wl_188,SJRWMD01850095,SAS,56.88750458,46.88750458,SEMINOLE,SJRWMD,Middle StJohns,110,475,1,110_475,Y,54.14208333,1,1,,28.73666231,-81.1197148,Y
