Condition,Type,Equation Order,LowerRange,UpperRange,Intercept,Coeff1,Coeff2,Coeff3,Coeff4,Coeff5,Coeff6,Coeff7,Coeff8,Coeff9,Coeff10
Stressed,Plain,9,-10.001,-0.05,-0.001130593,-0.602659503,-0.281021485,-0.123210135,-0.044170534,-0.010376767,-0.00152468,-0.000134342,-6.4506E-06,-1.29245E-07,0
Stressed,Plain,1,-0.05,0,0,-0.566299145,0,0,0,0,0,0,0,0,0
Stressed,Plain,8,0,8,7.85092E-05,0.010001055,-0.009974016,0.004481046,-0.001152588,0.000179953,-1.68313E-05,8.66186E-07,-1.88374E-08,0,0
Stressed,Plain,0,8,100,0,0,0,0,0,0,0,0,0,0,0
Stressed,Ridge,6,-10.1,-0.05,1.0412E-05,-0.230825987,-0.025459523,-0.004971357,-0.001026749,-9.11869E-05,-2.91317E-06,0,0,0,0
Stressed,Ridge,1,-0.05,0,0,-0.229773551,0,0,0,0,0,0,0,0,0
Stressed,Ridge,1,0,0.05,0,0.000426668,0,0,0,0,0,0,0,0,0
Stressed,Ridge,9,0.05,10,1.704E-07,0.000440684,-0.000355302,0.000137874,-3.34739E-05,5.47733E-06,-6.05786E-07,4.33294E-08,-1.80264E-09,3.30105E-11,0
Unstressed,Plain,1,-100,-8.218269789,1,0,0,0,0,0,0,0,0,0,0
Unstressed,Plain,10,-8.218269789,-0.65,-0.001818437,-0.037574968,-0.136151751,-0.220324536,-0.1730394,-0.077113976,-0.019725062,-0.002966049,-0.000260163,-1.23505E-05,-2.45674E-07
Unstressed,Plain,1,-0.65,0,0,-0.003532883,0,0,0,0,0,0,0,0,0
Unstressed,Plain,10,0,6.107065628,0.000628812,0.111230215,0.119151421,-0.116797804,0.125403785,-0.068231576,0.019710176,-0.003278176,0.000317784,-1.67596E-05,3.72791E-07
Unstressed,Plain,0,6.107065628,100,1,0,0,0,0,0,0,0,0,0,0
Unstressed,Ridge,7,-10.01,-0.16105,-0.001167716,-0.009561055,-0.016262166,-0.011900224,-0.004074893,-0.000730109,-5.93516E-05,-1.75313E-06,0,0,0
Unstressed,Ridge,0,-0.16105,0,0,0,0,0,0,0,0,0,0,0,0
Unstressed,Ridge,7,0,9.916886132,-0.001570109,0.172310424,-0.009763294,0.022543602,-0.008354254,0.001208159,-7.96506E-05,2.00885E-06,0,0,0
Unstressed,Ridge,0,9.916886132,100,1,0,0,0,0,0,0,0,0,0,0
