Condition,Type,Equation Order,LowerRange,UpperRange,Intercept,Coeff1,Coeff2,Coeff3,Coeff4,Coeff5,Coeff6,Coeff7,Coeff8,Coeff9,Coeff10
Stressed,Plain,9,-20,-0.05,-0.00418194746340454000000000,-0.45045839844147900000000000,-0.13319290485102300000000000,-0.02443522658097480000000000,-0.00373059271587776000000000,-0.00039297522569071900000000,-0.00002480871112927400000000,-0.00000087285079956759400000,-0.00000001517862458314830000,-0.00000000009227208697545910,0
Stressed,Plain,1,-0.05,0,0,-0.566299145,0,0,0,0,0,0,0,0,0
Stressed,Plain,10,0,15,0.00000138199842145929000000,0.00037008107488336700000000,-0.00040234155343457800000000,0.00019506246601520100000000,-0.00005485399333519230000000,0.00000978794996871463000000,-0.00000114369586051609000000,0.00000008727568605546600000,-0.00000000418941412378921000,0.00000000011477522931648100,-0.00000000000136806845741657
Stressed,Plain,0,15,100,0,0,0,0,0,0,0,0,0,0,0
Stressed,Ridge,8,-20,-0.05,-0.00007560747544114410000000,-0.22372242571472200000000000,-0.02467729044484570000000000,-0.00102040213680316000000000,-0.00005495617053614350000000,-0.00000738567702060763000000,-0.00000063562086896535400000,-0.00000002617947796842120000,-0.00000000040616971266147900,0,0
Stressed,Ridge,1,-0.05,0,0,-0.229773551,0,0,0,0,0,0,0,0,0
Stressed,Ridge,1,0,0.05,0,0.000426668,0,0,0,0,0,0,0,0,0
Stressed,Ridge,9,0.05,15,0.00000054321058587561600000,0.00196794521872822000000000,-0.00101911532119963000000000,0.00025070421535521500000000,-0.00003832534375910440000000,0.00000395146463268481000000,-0.00000027711774212727300000,0.00000001267832231102880000,-0.00000000034027614366217600,0.00000000000404902089273049,0
Unstressed,Plain,9,-100,-15.3,1,0,0,0,0,0,0,0,0,0,0
Unstressed,Plain,10,-15.3,-0.05,-0.0007860102436359510000000,-0.0182996287529471000000000,-0.0478508542946195000000000,-0.0443061265102414000000000,-0.0191942668671303000000000,-0.0044855791123978900000000,-0.0005918702921536610000000,-0.0000457019928678470000000,-0.0000020548384815188900000,-0.0000000499380614461505000,-0.0000000005078837154848560
Unstressed,Plain,1,-0.05,0,0,-0.003532883,0,0,0,0,0,0,0,0,0
Unstressed,Plain,9,0,15,-0.0022077609976848300000000,0.1643392941136120000000000,-0.0178641095601960000000000,0.0426579410504138000000000,-0.0182876389492489000000000,0.0034806686883032800000000,-0.0003624531403153460000000,0.0000215349329896731000000,-0.0000006879529549701070000,0.0000000091962933332725400,0
Unstressed,Plain,0,15,100,1,0,0,0,0,0,0,0,0,0,0
Unstressed,Ridge,9,-20,-0.16105,-0.0014039823198823700000000,-0.0108871341150660000000000,-0.0146565000307086000000000,-0.0094689894934240100000000,-0.0028894362238417700000000,-0.0005013535774443910000000,-0.0000479940975060091000000,-0.0000025252271389537000000,-0.0000000688245864936084000,-0.0000000007619387653285810,0
Unstressed,Ridge,0,-0.16105,0,0,0,0,0,0,0,0,0,0,0,0
Unstressed,Ridge,9,0,15,-0.0000086802303504013500000,0.1053496960471330000000000,0.0120449324274370000000000,-0.0013620845795379800000000,0.0006615632695032570000000,-0.0002591321171409880000000,0.0000395073947426032000000,-0.0000029338826500539300000,0.0000001081602299360980000,-0.0000000015957241263547600,0
Unstressed,Ridge,0,15,100,1,0,0,0,0,0,0,0,0,0,0
