Station,DBKEY,Daily Date,Data Value,Qualifer,Revision Date
Split Oak Preserve,NODBKY,1-Jan-2006,,M,
Split Oak Preserve,NODBKY,2-Jan-2006,,M,
Split Oak Preserve,NODBKY,3-Jan-2006,,M,
Split Oak Preserve,NODBKY,4-Jan-2006,,M,
Split Oak Preserve,NODBKY,5-Jan-2006,,M,
Split Oak Preserve,NODBKY,6-Jan-2006,,M,
Split Oak Preserve,NODBKY,7-Jan-2006,,M,
Split Oak Preserve,NODBKY,8-Jan-2006,,M,
Split Oak Preserve,NODBKY,9-Jan-2006,,M,
Split Oak Preserve,NODBKY,10-Jan-2006,,M,
Split Oak Preserve,NODBKY,11-Jan-2006,,M,
Split Oak Preserve,NODBKY,12-Jan-2006,,M,
Split Oak Preserve,NODBKY,13-Jan-2006,,M,
Split Oak Preserve,NODBKY,14-Jan-2006,,M,
Split Oak Preserve,NODBKY,15-Jan-2006,,M,
Split Oak Preserve,NODBKY,16-Jan-2006,,M,
Split Oak Preserve,NODBKY,17-Jan-2006,,M,
Split Oak Preserve,NODBKY,18-Jan-2006,,M,
Split Oak Preserve,NODBKY,19-Jan-2006,,M,
Split Oak Preserve,NODBKY,20-Jan-2006,,M,
Split Oak Preserve,NODBKY,21-Jan-2006,,M,
Split Oak Preserve,NODBKY,22-Jan-2006,,M,
Split Oak Preserve,NODBKY,23-Jan-2006,,M,
Split Oak Preserve,NODBKY,24-Jan-2006,,M,
Split Oak Preserve,NODBKY,25-Jan-2006,,M,
Split Oak Preserve,NODBKY,26-Jan-2006,,M,
Split Oak Preserve,NODBKY,27-Jan-2006,,M,
Split Oak Preserve,NODBKY,28-Jan-2006,,M,
Split Oak Preserve,NODBKY,29-Jan-2006,,M,
Split Oak Preserve,NODBKY,30-Jan-2006,,M,
Split Oak Preserve,NODBKY,31-Jan-2006,,M,
Split Oak Preserve,NODBKY,1-Feb-2006,,M,
Split Oak Preserve,NODBKY,2-Feb-2006,,M,
Split Oak Preserve,NODBKY,3-Feb-2006,,M,
Split Oak Preserve,NODBKY,4-Feb-2006,,M,
Split Oak Preserve,NODBKY,5-Feb-2006,,M,
Split Oak Preserve,NODBKY,6-Feb-2006,,M,
Split Oak Preserve,NODBKY,7-Feb-2006,,M,
Split Oak Preserve,NODBKY,8-Feb-2006,,M,
Split Oak Preserve,NODBKY,9-Feb-2006,,M,
Split Oak Preserve,NODBKY,10-Feb-2006,,M,
Split Oak Preserve,NODBKY,11-Feb-2006,,M,
Split Oak Preserve,NODBKY,12-Feb-2006,,M,
Split Oak Preserve,NODBKY,13-Feb-2006,,M,
Split Oak Preserve,NODBKY,14-Feb-2006,,M,
Split Oak Preserve,NODBKY,15-Feb-2006,,M,
Split Oak Preserve,NODBKY,16-Feb-2006,,M,
Split Oak Preserve,NODBKY,17-Feb-2006,,M,
Split Oak Preserve,NODBKY,18-Feb-2006,,M,
Split Oak Preserve,NODBKY,19-Feb-2006,,M,
Split Oak Preserve,NODBKY,20-Feb-2006,,M,
Split Oak Preserve,NODBKY,21-Feb-2006,,M,
Split Oak Preserve,NODBKY,22-Feb-2006,,M,
Split Oak Preserve,NODBKY,23-Feb-2006,,M,
Split Oak Preserve,NODBKY,24-Feb-2006,,M,
Split Oak Preserve,NODBKY,25-Feb-2006,,M,
Split Oak Preserve,NODBKY,26-Feb-2006,,M,
Split Oak Preserve,NODBKY,27-Feb-2006,,M,
Split Oak Preserve,NODBKY,28-Feb-2006,,M,
Split Oak Preserve,NODBKY,1-Mar-2006,,M,
Split Oak Preserve,NODBKY,2-Mar-2006,,M,
Split Oak Preserve,NODBKY,3-Mar-2006,,M,
Split Oak Preserve,NODBKY,4-Mar-2006,,M,
Split Oak Preserve,NODBKY,5-Mar-2006,,M,
Split Oak Preserve,NODBKY,6-Mar-2006,,M,
