Station,DBKEY,Daily Date,Data Value,Qualifer,Revision Date
TB2_GW1,PT431,26-Aug-03,101.22,PT,6-Nov-08
TB2_GW1,PT431,27-Aug-03,101.16,,6-Nov-08
TB2_GW1,PT431,28-Aug-03,101.11,,6-Nov-08
TB2_GW1,PT431,29-Aug-03,101.12,,6-Nov-08
TB2_GW1,PT431,30-Aug-03,101.11,,6-Nov-08
TB2_GW1,PT431,31-Aug-03,101.05,,6-Nov-08
TB2_GW1,PT431,1-Sep-03,101,,6-Nov-08
TB2_GW1,PT431,2-Sep-03,100.97,,6-Nov-08
TB2_GW1,PT431,3-Sep-03,100.98,,6-Nov-08
TB2_GW1,PT431,4-Sep-03,101.02,,6-Nov-08
TB2_GW1,PT431,5-Sep-03,100.95,,6-Nov-08
TB2_GW1,PT431,6-Sep-03,101.03,,6-Nov-08
TB2_GW1,PT431,7-Sep-03,101.02,,6-Nov-08
TB2_GW1,PT431,8-Sep-03,100.96,,6-Nov-08
TB2_GW1,PT431,9-Sep-03,100.91,,6-Nov-08
TB2_GW1,PT431,10-Sep-03,100.88,,6-Nov-08
TB2_GW1,PT431,11-Sep-03,100.84,,6-Nov-08
TB2_GW1,PT431,12-Sep-03,100.79,,6-Nov-08
TB2_GW1,PT431,13-Sep-03,100.74,,6-Nov-08
TB2_GW1,PT431,14-Sep-03,100.71,,6-Nov-08
TB2_GW1,PT431,15-Sep-03,100.67,,6-Nov-08
TB2_GW1,PT431,16-Sep-03,100.64,,6-Nov-08
TB2_GW1,PT431,17-Sep-03,100.61,,6-Nov-08
TB2_GW1,PT431,18-Sep-03,100.57,,6-Nov-08
TB2_GW1,PT431,19-Sep-03,100.53,,6-Nov-08
TB2_GW1,PT431,20-Sep-03,100.51,,6-Nov-08
TB2_GW1,PT431,21-Sep-03,100.48,,6-Nov-08
TB2_GW1,PT431,22-Sep-03,100.45,,6-Nov-08
TB2_GW1,PT431,23-Sep-03,100.42,,6-Nov-08
TB2_GW1,PT431,24-Sep-03,100.41,,6-Nov-08
TB2_GW1,PT431,25-Sep-03,100.44,,6-Nov-08
TB2_GW1,PT431,26-Sep-03,100.63,,6-Nov-08
TB2_GW1,PT431,27-Sep-03,100.65,,6-Nov-08
TB2_GW1,PT431,28-Sep-03,100.7,,6-Nov-08
TB2_GW1,PT431,29-Sep-03,100.64,,6-Nov-08
TB2_GW1,PT431,30-Sep-03,100.58,,6-Nov-08
TB2_GW1,PT431,1-Oct-03,100.56,,6-Nov-08
TB2_GW1,PT431,2-Oct-03,100.54,,6-Nov-08
TB2_GW1,PT431,3-Oct-03,100.5,,6-Nov-08
TB2_GW1,PT431,4-Oct-03,100.46,,6-Nov-08
TB2_GW1,PT431,5-Oct-03,100.42,,6-Nov-08
TB2_GW1,PT431,6-Oct-03,100.39,,6-Nov-08
TB2_GW1,PT431,7-Oct-03,100.36,,6-Nov-08
TB2_GW1,PT431,8-Oct-03,100.36,,6-Nov-08
TB2_GW1,PT431,9-Oct-03,100.33,,6-Nov-08
TB2_GW1,PT431,10-Oct-03,100.31,,6-Nov-08
TB2_GW1,PT431,11-Oct-03,100.35,,6-Nov-08
TB2_GW1,PT431,12-Oct-03,100.56,,6-Nov-08
TB2_GW1,PT431,13-Oct-03,100.51,,6-Nov-08
TB2_GW1,PT431,14-Oct-03,100.53,,6-Nov-08
TB2_GW1,PT431,15-Oct-03,100.46,,6-Nov-08
TB2_GW1,PT431,16-Oct-03,100.4,,6-Nov-08
TB2_GW1,PT431,17-Oct-03,100.37,,6-Nov-08
TB2_GW1,PT431,18-Oct-03,100.33,,6-Nov-08
TB2_GW1,PT431,19-Oct-03,100.29,,6-Nov-08
TB2_GW1,PT431,20-Oct-03,100.25,E,6-Nov-08
TB2_GW1,PT431,21-Oct-03,100.23,E,6-Nov-08
TB2_GW1,PT431,22-Oct-03,100.21,E,6-Nov-08
TB2_GW1,PT431,23-Oct-03,100.18,E,6-Nov-08
TB2_GW1,PT431,24-Oct-03,100.18,E,6-Nov-08
TB2_GW1,PT431,25-Oct-03,100.17,E,6-Nov-08
TB2_GW1,PT431,26-Oct-03,100.17,E,6-Nov-08
TB2_GW1,PT431,27-Oct-03,100.16,E,6-Nov-08
TB2_GW1,PT431,28-Oct-03,100.13,E,6-Nov-08
TB2_GW1,PT431,29-Oct-03,100.07,E,6-Nov-08
TB2_GW1,PT431,30-Oct-03,100.01,E,6-Nov-08
TB2_GW1,PT431,31-Oct-03,99.97,E,6-Nov-08
TB2_GW1,PT431,1-Nov-03,99.94,E,6-Nov-08
TB2_GW1,PT431,2-Nov-03,99.93,E,6-Nov-08
TB2_GW1,PT431,3-Nov-03,99.93,E,6-Nov-08
TB2_GW1,PT431,4-Nov-03,99.89,E,6-Nov-08
TB2_GW1,PT431,5-Nov-03,99.87,E,6-Nov-08
TB2_GW1,PT431,6-Nov-03,99.87,E,6-Nov-08
TB2_GW1,PT431,7-Nov-03,99.87,E,6-Nov-08
TB2_GW1,PT431,8-Nov-03,99.87,E,6-Nov-08
TB2_GW1,PT431,9-Nov-03,99.87,E,6-Nov-08
TB2_GW1,PT431,10-Nov-03,99.87,E,6-Nov-08
TB2_GW1,PT431,11-Nov-03,99.87,E,6-Nov-08
TB2_GW1,PT431,12-Nov-03,99.87,E,6-Nov-08
TB2_GW1,PT431,13-Nov-03,99.87,E,6-Nov-08
TB2_GW1,PT431,14-Nov-03,99.87,E,6-Nov-08
TB2_GW1,PT431,15-Nov-03,99.87,E,6-Nov-08
TB2_GW1,PT431,16-Nov-03,99.87,E,6-Nov-08
TB2_GW1,PT431,17-Nov-03,99.87,E,6-Nov-08
TB2_GW1,PT431,18-Nov-03,99.86,,6-Nov-08
TB2_GW1,PT431,19-Nov-03,99.88,,6-Nov-08
TB2_GW1,PT431,20-Nov-03,99.87,,6-Nov-08
TB2_GW1,PT431,21-Nov-03,99.83,,6-Nov-08
TB2_GW1,PT431,22-Nov-03,99.81,,6-Nov-08
TB2_GW1,PT431,23-Nov-03,99.8,,6-Nov-08
TB2_GW1,PT431,24-Nov-03,99.79,,6-Nov-08
TB2_GW1,PT431,25-Nov-03,99.77,,6-Nov-08
TB2_GW1,PT431,26-Nov-03,99.76,,6-Nov-08
TB2_GW1,PT431,27-Nov-03,99.75,,6-Nov-08
TB2_GW1,PT431,28-Nov-03,99.73,,6-Nov-08
TB2_GW1,PT431,29-Nov-03,99.69,,6-Nov-08
TB2_GW1,PT431,30-Nov-03,99.67,,6-Nov-08
TB2_GW1,PT431,1-Dec-03,99.66,,6-Nov-08
TB2_GW1,PT431,2-Dec-03,99.64,,6-Nov-08
TB2_GW1,PT431,3-Dec-03,99.62,,6-Nov-08
TB2_GW1,PT431,4-Dec-03,99.61,,6-Nov-08
TB2_GW1,PT431,5-Dec-03,99.61,,6-Nov-08
TB2_GW1,PT431,6-Dec-03,99.59,,6-Nov-08
TB2_GW1,PT431,7-Dec-03,99.57,,6-Nov-08
TB2_GW1,PT431,8-Dec-03,99.55,,6-Nov-08
TB2_GW1,PT431,9-Dec-03,99.54,,6-Nov-08
TB2_GW1,PT431,10-Dec-03,99.54,,6-Nov-08
TB2_GW1,PT431,11-Dec-03,99.51,,6-Nov-08
TB2_GW1,PT431,12-Dec-03,99.5,,6-Nov-08
TB2_GW1,PT431,13-Dec-03,99.49,,6-Nov-08
TB2_GW1,PT431,14-Dec-03,99.83,,6-Nov-08
