"STATION","DateRange","prank","value"
"Lake Sylvan","2006-2017","P80",36.0788888888889
"Unnamed Cypress SJ-LA","2006-2017","P80",68.0628571428571
"Unnamed Wetland South of 46","2006-2017","P80",58.8075619617225
"Long Lake","2006-2017","P80",57.3659529411765
"Prairie Lake","2006-2017","P80",64.5433333333333
"Cocoa 9T","2006-2017","P80",71.3228217378266
"Boggy Marsh SJ-LC","2006-2017","P80",114.892705445545
"Hopkins Prairie SJ-LD","2006-2017","P80",20.4464537815126
"Johns Lake SJ-QB","2006-2017","P80",92.7276158816058
"Lake Avalon SJ-LE","2006-2017","P80",85.2291748251748
"Lake Apshawa SJ-LF","2006-2017","P80",79.83
"Lake Louisa SJ-LJ","2006-2017","P80",91.4924694474373
"Trout Lake SJ-QC","2006-2017","P80",88.770366217692
"Church Lake SJ-QA","2006-2017","P80",81.621
"Red Bug Lake SJ-AW","2006-2017","P80",65.440980952381
"Chapman Marsh SJ-AI","2006-2017","P80",63.3416470588235
"Long Branch OR0649","2006-2017","P80",52.862
"Lake Sylvan","2007-2017","P80",36.0368757460662
"Unnamed Cypress SJ-LA","2007-2017","P80",68.05
"Unnamed Wetland South of 46","2007-2017","P80",58.7499692307692
"Long Lake","2007-2017","P80",57.1815428571429
"Prairie Lake","2007-2017","P80",64.35
"Cocoa 9T","2007-2017","P80",71.2533148980605
"Boggy Marsh SJ-LC","2007-2017","P80",114.805833333333
"Hopkins Prairie SJ-LD","2007-2017","P80",20.3557142857143
"Johns Lake SJ-QB","2007-2017","P80",92.6406550724638
"Lake Avalon SJ-LE","2007-2017","P80",85.1714285714286
"Lake Apshawa SJ-LF","2007-2017","P80",79.78
"Lake Louisa SJ-LJ","2007-2017","P80",91.4657530704589
"Trout Lake SJ-QC","2007-2017","P80",88.6700454545455
"Church Lake SJ-QA","2007-2017","P80",81.621
"Red Bug Lake SJ-AW","2007-2017","P80",65.405
"Chapman Marsh SJ-AI","2007-2017","P80",63.2936437847866
"Long Branch OR0649","2007-2017","P80",52.8475384615385
"Lake Sylvan","2008-2017","P80",36.0305747126437
"Unnamed Cypress SJ-LA","2008-2017","P80",68.0275
"Unnamed Wetland South of 46","2008-2017","P80",58.73665
"Long Lake","2008-2017","P80",57.442
"Prairie Lake","2008-2017","P80",64.163
"Cocoa 9T","2008-2017","P80",71.2696928846322
"Boggy Marsh SJ-LC","2008-2017","P80",115.307142857143
"Hopkins Prairie SJ-LD","2008-2017","P80",20.25
"Johns Lake SJ-QB","2008-2017","P80",92.8613065326633
"Lake Avalon SJ-LE","2008-2017","P80",85.2015384615385
"Lake Apshawa SJ-LF","2008-2017","P80",79.7188888888889
"Lake Louisa SJ-LJ","2008-2017","P80",91.4188235294118
"Trout Lake SJ-QC","2008-2017","P80",88.6381818181818
"Church Lake SJ-QA","2008-2017","P80",81.621
"Red Bug Lake SJ-AW","2008-2017","P80",65.3601008249313
"Chapman Marsh SJ-AI","2008-2017","P80",63.2516666666667
"Long Branch OR0649","2008-2017","P80",52.8575
"Lake Sylvan","2009-2017","P80",36.02
"Unnamed Cypress SJ-LA","2009-2017","P80",68.003
"Unnamed Wetland South of 46","2009-2017","P80",58.6804534285714
"Long Lake","2009-2017","P80",57.8873212121212
"Prairie Lake","2009-2017","P80",63.9808701298701
"Cocoa 9T","2009-2017","P80",71.195595359923
"Boggy Marsh SJ-LC","2009-2017","P80",115.615903743316
"Hopkins Prairie SJ-LD","2009-2017","P80",20.1609437229437
"Johns Lake SJ-QB","2009-2017","P80",93.0038305741458
"Lake Avalon SJ-LE","2009-2017","P80",85.4598823529412
"Lake Apshawa SJ-LF","2009-2017","P80",79.6968421052632
"Lake Louisa SJ-LJ","2009-2017","P80",91.36309615719
"Trout Lake SJ-QC","2009-2017","P80",88.5691494252873
"Church Lake SJ-QA","2009-2017","P80",81.621
"Red Bug Lake SJ-AW","2009-2017","P80",65.31
"Chapman Marsh SJ-AI","2009-2017","P80",63.2576730174239
"Long Branch OR0649","2009-2017","P80",52.8
"Lake Sylvan","2010-2017","P80",35.9483333333333
"Unnamed Cypress SJ-LA","2010-2017","P80",68.025
"Unnamed Wetland South of 46","2010-2017","P80",58.6260473333333
"Long Lake","2010-2017","P80",57.8306607142857
"Prairie Lake","2010-2017","P80",63.7895815602837
"Cocoa 9T","2010-2017","P80",71.1599658226187
"Boggy Marsh SJ-LC","2010-2017","P80",115.71
"Hopkins Prairie SJ-LD","2010-2017","P80",20.0390151929457
"Johns Lake SJ-QB","2010-2017","P80",92.9829490406941
"Lake Avalon SJ-LE","2010-2017","P80",85.5757443609023
"Lake Apshawa SJ-LF","2010-2017","P80",79.7334545454545
"Lake Louisa SJ-LJ","2010-2017","P80",91.504967032967
