"STATION","2006-2011_P80","2006-2012_P80","2006-2013_P80","2006-2014_P80","2006-2015_P80","2006-2016_P80","2006-2017_P80"
"Lake Gem SJ-AJ",47.6386459627329,47.6212833333333,47.7347244582043,47.8,47.7328311688312,47.0937828054299,46.9742857142857
"Lake Sylvan",37.3073571428571,36.9058913043478,36.65,36.4093333333333,36.2707692307692,36.2,36.08
"Island Lake SJ-LH",80.7786785714286,80.8038461538462,80.8810315789474,80.9636555023923,81.05,81.118947368421,81.168
"Unnamed Cypress SJ-LA",68.19,68.15,68.17,68.2,68.22,68.1214285714286,68.064
"Unnamed Wetland South of 46",60.3329428571429,60.100227032967,59.5923742857143,59.095965,58.9301769230769,58.8961933333333,58.81
"Long Lake",57.4030947368421,56.8089696969697,56.482,56.7795242105263,57.0208811188811,57.3478452012384,57.3368985507246
"Prairie Lake",70.1658151260504,68.8004444444445,65.6072575757576,64.3756457142857,64.845,65.2213987129987,64.5687142857143
"Cocoa 9T",71.4725,71.4725,71.4091466066742,71.2576374015748,71.3782268091489,71.4455208661417,71.3286828646419
"Boggy Marsh SJ-LC",112.944893145524,113.075,113.32621815201,113.595744360902,114.209884976526,114.783257837492,114.873220020855
"Hopkins Prairie SJ-LD",22.20375,22.0580514730782,20.743520099996,20.5271948051948,20.6565826208196,20.6381704545455,20.4536090909091
"Johns Lake SJ-QB",92.2546753246753,91.9921342245989,91.9475157515752,92.15,92.3072398921833,92.5676762978623,92.701425441266
"Lake Avalon SJ-LE",85.011323943662,85.0974458551158,85.0805062413315,85.0185714285714,85.08,85.1723492063492,85.2222063492063
"Lake Apshawa SJ-LF",80.1947058823529,79.7136153846154,79.5771286894923,79.645,79.7342490842491,79.8216666666667,79.8289177438308
"Lake Louisa SJ-LJ",91.4824466647903,91.3550668620626,91.2046854395604,91.3071554368154,91.3757047619048,91.4568133971292,91.4908
"Trout Lake SJ-QC",89.7369727332029,89.1137852813853,88.6687723785166,88.4802815057283,88.6017047619048,88.66,88.7733896794787
"Church Lake SJ-QA",81.827418872267,81.7287971014493,81.6256753812636,81.6206,81.6219960784314,81.6605022292158,81.621
"Red Bug Lake SJ-AW",65.5279578947368,65.41,65.4955317647059,65.5627792207792,65.5359780392157,65.49,65.4429925925926
"Chapman Marsh SJ-AI",63.41,63.2855283446712,63.2553217391304,63.3241907216495,63.3886338334804,63.41,63.3379032590051
"Long Branch OR0649",53.0622735042735,53.0134117647059,52.7992077922078,52.7928907563025,52.948,53.0338803418803,52.855
