"STATION","2006-2017_P80","2007-2017_P80","2008-2017_P80","2009-2017_P80","2010-2017_P80","2011-2017_P80"
"ALSTON BAY UPLAND SURF",95.5052207792208,95.5903093596059,95.8554523809524,96.02,96.0920043103448,96.071043062201
"BIG GUM LAKE",90.1546571428571,90.1182222222222,89.8732136752137,91.9397145148356,92.3934080338266,92.567168627451
"Bonnet Lake",88.2761714285714,88.3062115384615,88.3753966777409,88.4150392156863,88.47,88.5671913978495
"BUCK LAKE (HIGHLANDS)",88.7789368191721,88.6978,88.778477124183,88.98,89.0130666666667,89.1054545454545
"Crooked Lake nr Babson Park",114.157047619048,114.062280701754,113.96,113.868137566138,113.778624338624,113.665714285714
"CYPRESS CREEK W-17 UPLAND SURF",59.2438571428571,59.2438571428571,59.2438571428571,59.2438571428571,59.2438571428571,59.1989090909091
"CYPRESS CREEK W-33 SURF",65.3721428571429,65.5,65.7444,65.8516,66.2207142857143,66.1643035714286
"Cypress Creek BIO-5 Surf",61.954,61.9568181818182,62.1785714285714,62.3434285714286,62.6974,62.488625
"GATOR LAKE",129.553090909091,129.556313043478,129.81792120075,130.081156302521,130.167408163265,130.158857142857
"GREEN SWAMP 1 UPLAND SURF",97.5797837837838,97.5886896551724,97.7164599303136,97.7177142857143,97.85,97.795
"GREEN SWAMP 4 UPLAND SURF",98.925,99.0477733990148,99.3920487804878,99.5199738562092,99.6868148148148,99.6062655172414
"GREEN SWAMP L-11K SHALLOW",89.3174285714286,89.4845723905724,89.75,89.9374074074074,90.059756097561,90.0671428571429
"GREEN SWAMP 6 UPLAND SURF",94.2614461859979,94.5182424242424,94.7621481481482,94.7811764705882,94.9742857142857,94.9683783783784
"GREEN SWAMP 7 WETLAND SURF",103.573529411765,103.866444444444,104.294485714286,104.376666666667,104.47,104.391818181818
"GREEN SWAMP BAY UPLAND SURF",97.6455172413793,97.8416666666667,98.1564431818182,98.486025974026,98.6461845748187,98.6516794425087
"GREEN SWAMP MARSH UPLAND SURF",90.1559507389162,90.1973774680604,90.4359,90.3486956521739,90.5727586206897,90.4420689655172
"Green Swamp 5 Upland Surf",95.6035325670498,95.6035325670498,95.6035325670498,95.6035325670498,95.7479545454545,95.7427586206897
"LAKE ANNIE (HIGHLANDS)",108.86,108.86,108.88021978022,108.911392857143,108.96,108.971021134594
"Lake Apthorpe",67.8716593406593,67.8740113851993,67.9017802197802,67.9386666666667,67.935,67.86228
"LAKE GARFIELD",100.615371428571,100.659658536585,100.676487804878,100.669024390244,100.908,100.8325
"Lake Leonore (Patrick)",84.1961333333333,84.1948028311426,84.2134453781513,84.2542857142857,84.3361290322581,84.3805882352941
"Lake Placid",88.5500625,88.45975,88.4234074074074,88.6007596899225,88.608253968254,88.7234933333333
"LAKE STREETY",102.597722222222,102.571503448276,102.598222222222,102.691944444444,103.021333333333,103.1575
"Lake Van",130.635381818182,130.619891891892,130.831471861472,131.014666666667,131.222752542373,131.220104247104
"Lake Wailes",101.862200668896,101.8,101.736263354037,101.709657142857,101.68,101.911066666667
"ROMP 58 SURF AQ MONITOR",121.4,121.24,121.02,121.37,121.37,121.4
"LAKE WALKER",137.206941176471,137.142625139043,137.028760784314,136.868857142857,137.307285714286,137.417510204082
"NORTHEAST LAKELAND WE-NEL-GG-W SURF",128.459571428571,128.459571428571,128.459571428571,128.779285714286,129.314142857143,130.091666666667
"NORTHEAST LAKELAND WE-NEL-J-W SURF",128.570142857143,128.570142857143,128.570142857143,128.823857142857,129.801857142857,130.931285714286
"NORTHEAST LAKELAND WE-NEL-K-U SURF",128.977285714286,128.977285714286,128.977285714286,129.301,129.707571428571,129.942142857143
"PARKS LAKE",99.1412,99.1364705882353,99.1412,99.2407068965517,99.4218301158301,99.5246666666667
"POLECAT LAKE",139.359529411765,139.3038,139.344,139.929782991202,140.16780952381,140.192428571429
"Saddle Blanket",114.045,114.045,114.045,114.045,114.045,113.873898131868
"POLK COUNTY T1-MW",112.872428571429,112.872428571429,112.872428571429,112.872428571429,112.857285714286,112.269369230769
"SURVEYORS LAKE",129.553255172414,129.55672666106,129.79212605042,129.997364285714,130.121746031746,130.138453514739
"POLK COUNTY VF-2MW",124.283125,124.283125,124.283125,124.358939849624,124.530857142857,124.47248245614
