"STATION","DateRange","prank","value"
"ALSTON BAY UPLAND SURF","2006-2017","P80",95.5052207792208
"BIG GUM LAKE","2006-2017","P80",90.1546571428571
"Bonnet Lake","2006-2017","P80",88.2761714285714
"BUCK LAKE (HIGHLANDS)","2006-2017","P80",88.7789368191721
"Crooked Lake nr Babson Park","2006-2017","P80",114.157047619048
"CYPRESS CREEK W-17 UPLAND SURF","2006-2017","P80",59.2438571428571
"CYPRESS CREEK W-33 SURF","2006-2017","P80",65.3721428571429
"Cypress Creek BIO-5 Surf","2006-2017","P80",61.954
"GATOR LAKE","2006-2017","P80",129.553090909091
"GREEN SWAMP 1 UPLAND SURF","2006-2017","P80",97.5797837837838
"GREEN SWAMP 4 UPLAND SURF","2006-2017","P80",98.925
"GREEN SWAMP L-11K SHALLOW","2006-2017","P80",89.3174285714286
"GREEN SWAMP 6 UPLAND SURF","2006-2017","P80",94.2614461859979
"GREEN SWAMP 7 WETLAND SURF","2006-2017","P80",103.573529411765
"GREEN SWAMP BAY UPLAND SURF","2006-2017","P80",97.6455172413793
"GREEN SWAMP MARSH UPLAND SURF","2006-2017","P80",90.1559507389162
"Green Swamp 5 Upland Surf","2006-2017","P80",95.6035325670498
"LAKE ANNIE (HIGHLANDS)","2006-2017","P80",108.86
"Lake Apthorpe","2006-2017","P80",67.8716593406593
"LAKE GARFIELD","2006-2017","P80",100.615371428571
"Lake Leonore (Patrick)","2006-2017","P80",84.1961333333333
"Lake Placid","2006-2017","P80",88.5500625
"LAKE STREETY","2006-2017","P80",102.597722222222
"Lake Van","2006-2017","P80",130.635381818182
"Lake Wailes","2006-2017","P80",101.862200668896
"ROMP 58 SURF AQ MONITOR","2006-2017","P80",121.4
"LAKE WALKER","2006-2017","P80",137.206941176471
"NORTHEAST LAKELAND WE-NEL-GG-W SURF","2006-2017","P80",128.459571428571
"NORTHEAST LAKELAND WE-NEL-J-W SURF","2006-2017","P80",128.570142857143
"NORTHEAST LAKELAND WE-NEL-K-U SURF","2006-2017","P80",128.977285714286
"PARKS LAKE","2006-2017","P80",99.1412
"POLECAT LAKE","2006-2017","P80",139.359529411765
"Saddle Blanket","2006-2017","P80",114.045
"POLK COUNTY T1-MW","2006-2017","P80",112.872428571429
"SURVEYORS LAKE","2006-2017","P80",129.553255172414
"POLK COUNTY VF-2MW","2006-2017","P80",124.283125
"ALSTON BAY UPLAND SURF","2007-2017","P80",95.5903093596059
"BIG GUM LAKE","2007-2017","P80",90.1182222222222
"Bonnet Lake","2007-2017","P80",88.3062115384615
"BUCK LAKE (HIGHLANDS)","2007-2017","P80",88.6978
"Crooked Lake nr Babson Park","2007-2017","P80",114.062280701754
"CYPRESS CREEK W-17 UPLAND SURF","2007-2017","P80",59.2438571428571
"CYPRESS CREEK W-33 SURF","2007-2017","P80",65.5
"Cypress Creek BIO-5 Surf","2007-2017","P80",61.9568181818182
"GATOR LAKE","2007-2017","P80",129.556313043478
"GREEN SWAMP 1 UPLAND SURF","2007-2017","P80",97.5886896551724
"GREEN SWAMP 4 UPLAND SURF","2007-2017","P80",99.0477733990148
"GREEN SWAMP L-11K SHALLOW","2007-2017","P80",89.4845723905724
"GREEN SWAMP 6 UPLAND SURF","2007-2017","P80",94.5182424242424
"GREEN SWAMP 7 WETLAND SURF","2007-2017","P80",103.866444444444
"GREEN SWAMP BAY UPLAND SURF","2007-2017","P80",97.8416666666667
"GREEN SWAMP MARSH UPLAND SURF","2007-2017","P80",90.1973774680604
"Green Swamp 5 Upland Surf","2007-2017","P80",95.6035325670498
"LAKE ANNIE (HIGHLANDS)","2007-2017","P80",108.86
"Lake Apthorpe","2007-2017","P80",67.8740113851993
"LAKE GARFIELD","2007-2017","P80",100.659658536585
"Lake Leonore (Patrick)","2007-2017","P80",84.1948028311426
"Lake Placid","2007-2017","P80",88.45975
"LAKE STREETY","2007-2017","P80",102.571503448276
"Lake Van","2007-2017","P80",130.619891891892
"Lake Wailes","2007-2017","P80",101.8
"ROMP 58 SURF AQ MONITOR","2007-2017","P80",121.24
"LAKE WALKER","2007-2017","P80",137.142625139043
"NORTHEAST LAKELAND WE-NEL-GG-W SURF","2007-2017","P80",128.459571428571
"NORTHEAST LAKELAND WE-NEL-J-W SURF","2007-2017","P80",128.570142857143
"NORTHEAST LAKELAND WE-NEL-K-U SURF","2007-2017","P80",128.977285714286
"PARKS LAKE","2007-2017","P80",99.1364705882353
"POLECAT LAKE","2007-2017","P80",139.3038
"Saddle Blanket","2007-2017","P80",114.045
"POLK COUNTY T1-MW","2007-2017","P80",112.872428571429
"SURVEYORS LAKE","2007-2017","P80",129.55672666106
"POLK COUNTY VF-2MW","2007-2017","P80",124.283125
"ALSTON BAY UPLAND SURF","2008-2017","P80",95.8554523809524
"BIG GUM LAKE","2008-2017","P80",89.8732136752137
"Bonnet Lake","2008-2017","P80",88.3753966777409
"BUCK LAKE (HIGHLANDS)","2008-2017","P80",88.778477124183
"Crooked Lake nr Babson Park","2008-2017","P80",113.96
"CYPRESS CREEK W-17 UPLAND SURF","2008-2017","P80",59.2438571428571
"CYPRESS CREEK W-33 SURF","2008-2017","P80",65.7444
"Cypress Creek BIO-5 Surf","2008-2017","P80",62.1785714285714
"GATOR LAKE","2008-2017","P80",129.81792120075
"GREEN SWAMP 1 UPLAND SURF","2008-2017","P80",97.7164599303136
"GREEN SWAMP 4 UPLAND SURF","2008-2017","P80",99.3920487804878
"GREEN SWAMP L-11K SHALLOW","2008-2017","P80",89.75
"GREEN SWAMP 6 UPLAND SURF","2008-2017","P80",94.7621481481482
"GREEN SWAMP 7 WETLAND SURF","2008-2017","P80",104.294485714286
"GREEN SWAMP BAY UPLAND SURF","2008-2017","P80",98.1564431818182
"GREEN SWAMP MARSH UPLAND SURF","2008-2017","P80",90.4359
"Green Swamp 5 Upland Surf","2008-2017","P80",95.6035325670498
"LAKE ANNIE (HIGHLANDS)","2008-2017","P80",108.88021978022
"Lake Apthorpe","2008-2017","P80",67.9017802197802
"LAKE GARFIELD","2008-2017","P80",100.676487804878
"Lake Leonore (Patrick)","2008-2017","P80",84.2134453781513
"Lake Placid","2008-2017","P80",88.4234074074074
"LAKE STREETY","2008-2017","P80",102.598222222222
"Lake Van","2008-2017","P80",130.831471861472
"Lake Wailes","2008-2017","P80",101.736263354037
"ROMP 58 SURF AQ MONITOR","2008-2017","P80",121.02
