"STATION","2006-2011_P80","2006-2012_P80","2006-2013_P80","2006-2014_P80","2006-2015_P80","2006-2016_P80","2006-2017_P80"
"ALSTON BAY UPLAND SURF",95.045,95.0684472049689,95.1863502304147,95.3296129032258,95.4278909090909,95.5596842105263,95.5052207792208
"BIG GUM LAKE",89.2993939393939,89.4152,89.573632183908,89.702060851927,89.8832323232323,90.1241212121212,90.1546571428571
"LAKE BONNET (HAINES CITY)",128.227282051282,127.787647058824,127.7,127.753888888889,127.83,127.913469516028,128.021947712418
"BUCK LAKE (HIGHLANDS)",88.5113523809524,88.45,88.4869128919861,88.5481526315789,88.614288248337,88.7026190476191,88.7789368191721
"Crooked Lake nr Babson Park",114.140010582011,113.860857142857,113.75,113.864285714286,113.96,114.060706766917,114.157047619048
"Cypress Creek #190 East Marsh",63.805,63.923,64.097,64.3248857142857,64.5992857142857,64.8259411764706,64.8471978021978
"CYPRESS CREEK W-17 UPLAND SURF",59.9981904761905,59.3911428571429,59.3952857142857,59.7114285714286,59.8643571428571,59.634,59.2438571428571
"CYPRESS CREEK W-33 SURF",65.0220857142857,65.0961,65.1374666666667,65.286619047619,65.5,65.6033333333333,65.3721428571429
"Cypress Creek BIO-5 Surf",61.676,61.6367897435897,61.8304615384615,61.9348774928775,62.03008,62.1018461538462,61.954
"GATOR LAKE",129.180451749735,129.260434782609,129.338,129.39,129.456129032258,129.541587301587,129.553090909091
"GREEN SWAMP 1 UPLAND SURF",97.370474789916,97.2518676607642,97.345110864745,97.4545329153605,97.5771142857143,97.6705882352941,97.5797837837838
"GREEN SWAMP 4 UPLAND SURF",98.577025974026,98.544936026936,98.6442285714286,98.7419885057471,98.8177171717172,98.9211764705882,98.925
"GREEN SWAMP L-11K SHALLOW",87.8280487804878,88.0171111111111,88.3353333333333,88.7693333333333,89.1387977044476,89.3444444444444,89.3174285714286
"GREEN SWAMP 6 UPLAND SURF",93.1528888888889,93.2493333333333,93.6009578544061,93.8204016227181,94.0477965517241,94.2727586206897,94.2614461859979
"GREEN SWAMP 7 WETLAND SURF",102.598840336134,102.93,102.979411764706,103.190689655172,103.42,103.595348148148,103.573529411765
"GREEN SWAMP BAY UPLAND SURF",96.1723902439024,96.4623468834688,96.8371978319783,97.0930081300813,97.3577064039409,97.5820689655172,97.6455172413793
"GREEN SWAMP MARSH UPLAND SURF",89.5475609756098,89.5239512195122,89.6865714285714,89.8403243243243,90.068919047619,90.1625747126437,90.1559507389162
"LAKE ANNIE (HIGHLANDS)",108.765161290323,108.7645,108.789366071429,108.810065934066,108.831428571429,108.85081456044,108.86
"Lake Apthorpe",67.7822196078431,67.7190700778643,67.7606,67.7998431372549,67.83,67.8693551515152,67.8716593406593
"LAKE GARFIELD",100.444528066528,100.548,100.618415475189,100.69437398374,100.713095238095,100.71,100.615371428571
"Lake Leonore (Patrick)",84.0638461538462,84.0675169082126,84.1021835748792,84.1336407982262,84.1540571428571,84.1771948051948,84.1961333333333
"Lake Placid",88.3207053140097,88.2010144927536,88.24,88.3294285714286,88.38,88.45975,88.5500625
"LAKE STREETY",102.3472,102.419853658537,102.511304065041,102.584171428571,102.640879551821,102.68,102.597722222222
"Lake Van",130.100294294294,130.237647058824,130.369642857143,130.456428571429,130.54,130.59553030303,130.635381818182
"Lake Wailes",101.660193277311,101.738414814815,101.71406984127,101.68,101.736827329193,101.8,101.862200668896
"ROMP 58 SURF AQ MONITOR",121.65,121.603846153846,121.332,120.96,121.196,121.4,121.4
"LAKE WALKER",136.243694117647,136.772777777778,137.136666666667,137.065294117647,137.172558139535,137.247406417112,137.206941176471
"NORTHEAST LAKELAND WE-NEL-GG-W SURF",126.107,126.107,126.431285714286,126.957,127.489142857143,128.066142857143,128.459571428571
"NORTHEAST LAKELAND WE-NEL-J-W SURF",126.811,126.884142857143,127.388428571429,127.897,128.157,128.384142857143,128.570142857143
"NORTHEAST LAKELAND WE-NEL-K-U SURF",125.451285714286,123.877,125.595,126.844142857143,127.959,128.828714285714,128.977285714286
"PARKS LAKE",98.89,98.9451111111111,99.0253846153846,99.07,99.1133333333333,99.141746031746,99.1412
"POLECAT LAKE",138.441714285714,138.578913043478,138.806593406593,138.951034482759,139.134565217391,139.306521254355,139.359529411765
"POLK COUNTY T2-MW",116.079676392573,115.880857142857,116.188159151194,116.460428571429,116.602769230769,116.756,116.812
"SURVEYORS LAKE",129.326298850575,129.360714285714,129.415454545455,129.468181818182,129.513658536585,129.548405797101,129.553255172414
"POLK COUNTY VF-2MW",124.131523485364,124.019256637168,123.867362637363,124.0205,124.135857142857,124.240222222222,124.283125
