"","theta","phys","Ppu","Ps","Pu","Pps","PpAll","PsiU","PsiS"
"1",-20,"Plain",3.98669344087809e-75,7.14775175444738e-58,5.31559125450412e-75,1.78693793861184e-58,1.78693793861184e-58,2.23101953052443e-17,1
"2",-19.9,"Plain",1.75937682091875e-74,2.10891223240792e-57,2.345835761225e-74,5.27228058101979e-58,5.27228058101979e-58,3.33703184775959e-17,1
"3",-19.8,"Plain",7.71392587055547e-74,6.19423978924305e-57,1.0285234494074e-73,1.54855994731076e-57,1.54855994731076e-57,4.98135437633623e-17,1
"4",-19.7,"Plain",3.36018065144281e-73,1.81116486212107e-56,4.48024086859042e-73,4.52791215530267e-57,4.52791215530267e-57,7.42103763543133e-17,1
"5",-19.6,"Plain",1.4541873522552e-72,5.27191521296462e-56,1.9389164696736e-72,1.31797880324116e-56,1.31797880324116e-56,1.10334653992848e-16,1
"6",-19.5,"Plain",6.25242757854261e-72,1.52763398906254e-55,8.33657010472348e-72,3.81908497265634e-56,3.81908497265634e-56,1.63715330329343e-16,1
"7",-19.4,"Plain",2.67083800612974e-71,4.40667144073574e-55,3.56111734150632e-71,1.10166786018394e-55,1.10166786018394e-55,2.42435864987821e-16,1
"8",-19.3,"Plain",1.13348818055066e-70,1.26544272053617e-54,1.51131757406755e-70,3.16360680134042e-55,3.16360680134042e-55,3.58289841857213e-16,1
"9",-19.2,"Plain",4.77921991280075e-70,3.61755194100105e-54,6.37229321706766e-70,9.04387985250262e-55,9.04387985250262e-55,5.28447965999708e-16,1
"10",-19.1,"Plain",2.00201627789519e-69,1.0295027752389e-53,2.66935503719359e-69,2.57375693809724e-54,2.57375693809724e-54,7.77857554558071e-16,0.999999999999999
"11",-19,"Plain",8.33199046869415e-69,2.91662591674808e-53,1.11093206249255e-68,7.29156479187019e-54,7.2915647918702e-54,1.14268894352883e-15,0.999999999999999
"12",-18.9,"Plain",3.44508939173465e-68,8.22572908850637e-53,4.59345252231287e-68,2.05643227212659e-53,2.0564322721266e-53,1.67527491103416e-15,0.999999999999998
"13",-18.8,"Plain",1.41521621769185e-67,2.30944985162837e-52,1.88695495692247e-67,5.77362462907091e-53,5.77362462907093e-53,2.45117462359098e-15,0.999999999999998
"14",-18.7,"Plain",5.77584684588238e-67,6.45480509349816e-52,7.70112912784318e-67,1.61370127337454e-52,1.61370127337455e-52,3.57925406714467e-15,0.999999999999996
"15",-18.6,"Plain",2.34195804999578e-66,1.79596633841307e-51,3.1226107333277e-66,4.48991584603268e-52,4.48991584603271e-52,5.21603996668475e-15,0.999999999999995
"16",-18.5,"Plain",9.43437478796941e-66,4.97454901696726e-51,1.25791663839592e-65,1.24363725424181e-51,1.24363725424182e-51,7.58611464540038e-15,0.999999999999992
"17",-18.4,"Plain",3.77587587270484e-65,1.3716701865837e-50,5.03450116360645e-65,3.42917546645925e-51,3.42917546645929e-51,1.10110313970125e-14,0.999999999999989
"18",-18.3,"Plain",1.50138773456974e-64,3.76518349862292e-50,2.00185031275966e-64,9.41295874655729e-51,9.41295874655744e-51,1.59502211259434e-14,0.999999999999984
"19",-18.2,"Plain",5.93114564826078e-64,1.02887604711445e-49,7.90819419768104e-64,2.57219011778612e-50,2.57219011778618e-50,2.30587374053266e-14,0.999999999999977
"20",-18.1,"Plain",2.32784942476231e-63,2.79885519174669e-49,3.10379923301641e-63,6.99713797936673e-50,6.99713797936697e-50,3.3268593982663e-14,0.999999999999967
"21",-18,"Plain",9.07698779416036e-63,7.57945998797889e-49,1.21026503922138e-62,1.89486499699472e-49,1.89486499699481e-49,4.79030844337519e-14,0.999999999999952
"22",-17.9,"Plain",3.51640742714852e-62,2.04332083141002e-48,4.68854323619803e-62,5.10830207852506e-49,5.10830207852541e-49,6.88371081641983e-14,0.999999999999931
"23",-17.8,"Plain",1.3534031923407e-61,5.48372065266021e-48,1.8045375897876e-61,1.37093016316505e-48,1.37093016316519e-48,9.87215270846458e-14,0.999999999999901
"24",-17.7,"Plain",5.17518375706084e-61,1.46505708300576e-47,6.90024500941445e-61,3.66264270751439e-48,3.66264270751491e-48,1.41296440038843e-13,0.999999999999859
"25",-17.6,"Plain",1.96605165558292e-60,3.89649597815841e-47,2.6214022074439e-60,9.74123994539604e-48,9.741239945398e-48,2.01827659168968e-13,0.999999999999798
"26",-17.5,"Plain",7.42052519501207e-60,1.0316547469398e-46,9.89403359334943e-60,2.57913686734951e-47,2.57913686735025e-47,2.87713509467055e-13,0.999999999999712
"27",-17.4,"Plain",2.78256254152253e-59,2.71916143399143e-46,3.71008338869671e-59,6.79790358497859e-47,6.79790358498137e-47,4.09326567630358e-13,0.999999999999591
"28",-17.3,"Plain",1.03663482723047e-58,7.13470573664939e-46,1.38217976964062e-58,1.78367643416235e-46,1.78367643416338e-46,5.8117874261017e-13,0.999999999999419
"29",-17.2,"Plain",3.83687125834466e-58,1.86362102856427e-45,5.11582834445955e-58,4.65905257141068e-46,4.65905257141451e-46,8.23530363637808e-13,0.999999999999177
"30",-17.1,"Plain",1.41090973350718e-57,4.8459575042754e-45,1.88121297800958e-57,1.21148937606885e-45,1.21148937607026e-45,1.1646075990231e-12,0.999999999998835
"31",-17,"Plain",5.15456241298757e-57,1.25441738157036e-44,6.87274988398342e-57,3.1360434539259e-45,3.13604345393106e-45,1.64365146360657e-12,0.999999999998356
"32",-16.9,"Plain",1.87091883085752e-56,3.23254803758308e-44,2.49455844114335e-56,8.0813700939577e-45,8.08137009397641e-45,2.31510103992396e-12,0.999999999997685
"33",-16.8,"Plain",6.74665745501493e-56,8.29255526464594e-44,8.99554327335324e-56,2.07313881616149e-44,2.07313881616823e-44,3.25432016534461e-12,0.999999999996746
"34",-16.7,"Plain",2.41709068900027e-55,2.11773797388654e-43,3.2227875853337e-55,5.29434493471636e-44,5.29434493474053e-44,4.56541974275186e-12,0.999999999995435
"35",-16.6,"Plain",8.60335415627875e-55,5.38389444285794e-43,1.14711388750383e-54,1.34597361071448e-43,1.34597361072309e-43,6.39191889628269e-12,0.999999999993608
"36",-16.5,"Plain",3.04237838678892e-54,1.36257780810216e-42,4.05650451571856e-54,3.4064445202554e-43,3.40644452028582e-43,8.93124302677221e-12,0.999999999991069
"37",-16.4,"Plain",1.06888067195886e-53,3.43294265615849e-42,1.42517422927848e-53,8.58235664039623e-43,8.58235664050312e-43,1.24543958813648e-11,0.999999999987546
"38",-16.3,"Plain",3.73091875163019e-53,8.61018036859681e-42,4.97455833550692e-53,2.1525450921492e-42,2.15254509218651e-42,1.73325927766763e-11,0.999999999982667
"39",-16.2,"Plain",1.29381722761888e-52,2.14980175042335e-41,1.72508963682517e-52,5.37450437605838e-42,5.37450437618776e-42,2.40732379594154e-11,0.999999999975927
"40",-16.1,"Plain",4.45759531599682e-52,5.34349045179421e-41,5.94346042132909e-52,1.33587261294855e-41,1.33587261299313e-41,3.33684160648314e-11,0.999999999966632
