OBJECTID,SEQNUM,ACRES_GRID,WETLAND_CLASS_IN_GRID,CFCA_EMT_I,CFCA_EMT_I_1,Physiograp,Wetland_Ty,Hydrologic,Edge_Ref_1,Urban_Dens,ACRES_COMBINED_UNION,PERCENT_ACRES_GRID,Shape_Length,Shape_Area,XCOORD_UTM,YCOORD_UTM
94482,200024.000000000000000,35.870064279155187,1,SW-N3,SW-N3,Plain,2A-M,No,98.400000000000006,Low,4.574711282410622,12.753563101555629,962.436910561425980,18513.199733849164000,392692.7187500,3117468.5000000
94483,199284.000000000000000,35.870064279155187,1,SW-N3,SW-N3,Plain,2A-M,No,98.400000000000006,Low,16.703554617762855,46.566837705584000,1077.405870917267300,67596.887281802788000,392706.6250000,3117689.0000000
94484,200025.000000000000000,35.870064279155187,1,SW-N3,SW-N3,Plain,2A-M,No,98.400000000000006,Low,0.366281108840453,1.021133126469768,189.344830914311270,1482.287057714780300,392875.8750000,3117536.0000000
94485,199285.000000000000000,35.870064279155187,1,SW-N3,SW-N3,Plain,2A-M,No,98.400000000000006,Low,7.361330110365323,20.522210534880863,740.930753311409600,29790.246034538410000,392886.8437500,3117686.7500000
94486,149000.000000000000000,35.870064279155187,1 & 3,SW-N1,SW-N1,Plain,2A-M,No,100.830000000000000,Low,0.000275671816190,0.000768528916047,5.107983883988393,1.115604259823570,406547.7187500,3143840.0000000
94487,148260.000000000000000,35.870064279155187,1 & 3,SW-N1,SW-N1,Plain,2A-M,No,100.830000000000000,Low,6.506001168756108,18.137690298305028,847.796679535030310,26328.852613922565000,406510.8750000,3144042.2500000
94488,147520.000000000000000,35.870064279155187,1 & 3,SW-N1,SW-N1,Plain,2A-M,No,100.830000000000000,Low,0.933680216284266,2.602951054165927,324.131826795284610,3778.469779737801200,406530.9375000,3144270.0000000
94489,149001.000000000000000,35.870064279155187,1 & 3,SW-N1,SW-N1,Plain,2A-M,No,100.830000000000000,Low,4.643019186355120,12.943994608488257,783.411609751473750,18789.632013627637000,406713.5312500,3143806.2500000
94490,148261.000000000000000,35.870064279155187,1 & 3,SW-N1,SW-N1,Plain,2A-M,No,100.830000000000000,Low,30.864398974476952,86.045006037005834,1510.849465830770000,124903.791213378030000,406712.7812500,3144034.0000000
94491,147521.000000000000000,35.870064279155187,1 & 3,SW-N1,SW-N1,Plain,2A-M,No,100.830000000000000,Low,23.424395471318231,65.303466670759818,1423.691745167486500,94795.165253941668000,406748.5000000,3144359.5000000
