OBJECTID,Wetland__1,SEQNUM,CFCA_EMT_I,Physiograp,Wetland_Ty,Hydrologic,Edge_Ref_1,Urban_Dens,ACRES_COMB,XCOORD_UTM,YCOORD_UTM,Column_,ORIG_FID
1,1,200024,SW-N3,Plain,2A-M,No,98.4,Low,4.574711282,392692.7188,3117468.5,224,1
2,1,199284,SW-N3,Plain,2A-M,No,98.4,Low,16.70355462,392706.625,3117689,224,2
3,1,200025,SW-N3,Plain,2A-M,No,98.4,Low,0.366281109,392875.875,3117536,225,3
4,1,199285,SW-N3,Plain,2A-M,No,98.4,Low,7.36133011,392886.8438,3117686.75,225,4
5,1,149000,SW-N1,Plain,2A-M,No,100.83,Low,0.000275672,406547.7188,3143840,260,5
6,1,148260,SW-N1,Plain,2A-M,No,100.83,Low,6.506001169,406510.875,3144042.25,260,6
7,1,147520,SW-N1,Plain,2A-M,No,100.83,Low,0.933680216,406530.9375,3144270,260,7
8,1,149001,SW-N1,Plain,2A-M,No,100.83,Low,4.643019186,406713.5313,3143806.25,261,8
9,1,148261,SW-N1,Plain,2A-M,No,100.83,Low,30.86439897,406712.7813,3144034,261,9
10,1,147521,SW-N1,Plain,2A-M,No,100.83,Low,23.42439547,406748.5,3144359.5,261,10
11,1,160842,SW-LM,Plain,1A,No,99.81,Low,1.860402529,407259.7188,3137675.25,262,11
12,1,148262,SW-N1,Plain,2A-M,No,100.83,Low,0.000683518,406929.8438,3144220.5,262,12
13,1,147522,SW-N1,Plain,2A-M,No,100.83,Low,0.995549353,406944.875,3144301,262,13
14,1,160843,SW-LM,Plain,1A,No,99.81,Low,0.073318705,407313.875,3137683.5,263,14
15,1,154186,SW-N2,Plain,1A,No,102.01,Low,0.870837458,408817.1875,3141019.25,266,15
16,1,154187,SW-N2,Plain,1A,No,102.01,Low,1.202513091,408855.1563,3141011,267,16
17,1,171211,SW-AA,Plain,1A,No,105.95,Low,4.773634967,410581.125,3132192.25,271,17
18,1,201552,SW-N4,Plain,2A-M,No,134.32,Moderate,1.6851628,411102.9688,3116697.25,272,18
19,1,200812,SW-N4,Plain,2A-M,No,134.32,Moderate,0.577810946,411101.625,3116820.75,272,19
20,1,202293,SW-N4,Plain,2A-M,No,134.32,Moderate,8.987160186,411290.0938,3116293,273,20
21,1,201553,SW-N4,Plain,2A-M,No,134.32,Moderate,10.79734526,411234.7188,3116594.75,273,21
22,1,200813,SW-N4,Plain,2A-M,No,134.32,Moderate,0.628252247,411159.5313,3116804.75,273,22
23,1,203774,SW-N6,Plain,1A,No,134.43,Moderate,0.023261861,411880.3438,3115399.5,274,23
24,1,204515,SW-N6,Plain,1A,No,134.43,Moderate,0.949404689,411956.7188,3115248.75,275,24
25,1,203775,SW-N6,Plain,1A,No,134.43,Moderate,8.372788453,411978.8125,3115369.75,275,25
26,1,203776,SW-N5,Plain,2A-M,No,134.16,Moderate,5.367766539,412577.6875,3115570.75,276,26
27,1,203036,SW-N5,Plain,2A-M,No,134.16,Moderate,7.761386158,412558.0625,3115744.75,276,27
28,1,203777,SW-N5,Plain,2A-M,No,134.16,Moderate,8.84869846,412871.2188,3115586,277,28
29,1,203037,SW-N5,Plain,2A-M,No,134.16,Moderate,16.04878108,412842.4375,3115733.5,277,29
30,1,203778,SW-N5,Plain,2A-M,No,134.16,Moderate,8.209109917,413104.25,3115528.75,278,30
31,1,203038,SW-N5,Plain,2A-M,No,134.16,Moderate,13.80860197,413140.7188,3115836,278,31
32,1,202298,SW-N5,Plain,2A-M,No,134.16,Moderate,0.173319392,413098.5938,3116035.75,278,32
33,1,100929,SJ-QA,Ridge,1F,Yes,89.49,Moderate,2.140747429,417525.5313,3168412,289,33
34,1,100189,SJ-QA,Ridge,1F,Yes,89.49,Moderate,11.69505201,417495.9375,3168842,289,34
35,1,99449,SJ-QA,Ridge,1F,Yes,89.49,Moderate,5.541368737,417486.2188,3169085.75,289,35
36,1,98709,SJ-QA,Ridge,1F,Yes,89.49,Moderate,9.647412375,417492.875,3169563,289,36
37,1,100930,SJ-QA,Ridge,1F,Yes,89.49,Moderate,17.2883495,417801.7813,3168434.75,290,37
38,1,100190,SJ-QA,Ridge,1F,Yes,89.49,Moderate,22.19131727,417737.4375,3168792.5,290,38
39,1,99450,SJ-QA,Ridge,1F,Yes,89.49,Moderate,27.26253915,417786.875,3169139.5,290,39
40,1,98710,SJ-QA,Ridge,1F,Yes,89.49,Moderate,16.06867336,417759.2188,3169493.75,290,40
41,1,100931,SJ-QA,Ridge,1F,Yes,89.49,Moderate,18.94981879,418234.3125,3168448,291,41
42,1,100191,SJ-QA,Ridge,1F,Yes,89.49,Moderate,17.47701312,418148.4063,3168773.5,291,42
43,1,99451,SJ-QA,Ridge,1F,Yes,89.49,Moderate,15.65422476,418082.2813,3169167.5,291,43
44,1,98711,SJ-QA,Ridge,1F,Yes,89.49,Moderate,10.64011457,418176.9375,3169491.75,291,44
45,1,101672,SJ-QA,Ridge,1F,Yes,89.49,Moderate,5.204745422,418510.625,3168140.25,292,45
46,1,100932,SJ-QA,Ridge,1F,Yes,89.49,Moderate,18.68752477,418505.6563,3168446.75,292,46
47,1,100192,SJ-QA,Ridge,1F,Yes,89.49,Moderate,22.50848653,418564.5313,3168739,292,47
48,1,98712,SJ-QA,Ridge,1F,Yes,89.49,Moderate,0.416009599,418698.375,3169710.75,292,48
49,1,100933,SJ-QA,Ridge,1F,Yes,89.49,Moderate,1.375017859,418776.2188,3168568,293,49
50,1,100193,SJ-QA,Ridge,1F,Yes,89.49,Moderate,3.598596718,418794.4063,3168674,293,50
51,1,98713,SJ-QA,Ridge,1F,Yes,89.49,Moderate,0.443178556,418763.1563,3169677.5,293,51
52,1,216384,SW-QK,Ridge,1F,No,133.31,Low,2.612425561,423232.0625,3109139,304,52
53,1,215644,SW-QK,Ridge,1F,No,133.31,Low,9.815290389,423202.5625,3109300.25,304,53
54,1,214164,SW-QK,Ridge,1F,No,133.31,Low,10.68306913,423226.1875,3110186,304,54
55,1,213424,SW-QK,Ridge,1F,No,133.31,Low,3.218804478,423230.7188,3110371,304,55
56,1,217125,SW-QK,Ridge,1F,No,133.31,Low,0.069208833,423672.75,3108785.5,305,56
57,1,216385,SW-QK,Ridge,1F,No,133.31,Low,25.06092059,423521.9063,3108982.75,305,57
58,1,215645,SW-QK,Ridge,1F,No,133.31,Low,3.373544498,423382.875,3109215.25,305,58
59,1,214905,SW-QK,Ridge,1F,No,133.31,Low,0.804095909,423621.5938,3109917.5,305,59
60,1,214165,SW-QK,Ridge,1F,No,133.31,Low,26.30170802,423506.8125,3110097.5,305,60
61,1,219346,SW-QK,Ridge,1F,No,133.31,Low,4.746063694,424026.0938,3107550.5,306,61
62,1,218606,SW-QK,Ridge,1F,No,133.31,Low,0.622431881,424052.25,3107671,306,62
63,1,217126,SW-QK,Ridge,1F,No,133.31,Low,2.869828826,423894.4375,3108725,306,63
64,1,216386,SW-QK,Ridge,1F,No,133.31,Low,13.95061283,423828.5,3108953,306,64
65,1,215646,SW-QK,Ridge,1F,No,133.31,Low,0.039143657,424048.625,3109171.75,306,65
66,1,214906,SW-QK,Ridge,1F,No,133.31,Low,0.001578724,423693.875,3109929.25,306,66
67,1,214166,SW-QK,Ridge,1F,No,133.31,Low,4.02756154,423743.75,3110050.75,306,67
68,1,109826,SJ-LF,Ridge,1F,No,86.76,Moderate,1.917429682,423957.1875,3163948.75,306,68
69,1,109086,SJ-LF,Ridge,1F,No,86.76,Moderate,8.576877004,423969.1875,3164204.5,306,69
70,1,219347,SW-QK,Ridge,1F,No,133.31,Low,21.58176872,424242.0625,3107525.5,307,70
71,1,218607,SW-QK,Ridge,1F,No,133.31,Low,33.02958507,424278.5938,3107827.25,307,71
72,1,217867,SW-QK,Ridge,1F,No,133.31,Low,15.89352379,424365.0313,3108194.25,307,72
73,1,217127,SW-QK,Ridge,1F,No,133.31,Low,10.41121602,424388.4688,3108564.25,307,73
74,1,216387,SW-QK,Ridge,1F,No,133.31,Low,2.552596299,424194.875,3108998.75,307,74
