OBJECTID,SEQNUM,ACRES_GRID,WETLAND_CLASS_IN_GRID,CFCA_ID,Hydroclass,EcoHydro_T,Wetland_Type,Urban_Density,SusceptGW,Stressed,Hydro_alt,Acres,Class,WETLAND_CLASS2,MULTIPLE_PNTS_IN_CELL2,ACRES_COMBINED_UNION,Shape_Length,Shape_Area,XCOORD_UTM,YCOORD_UTM
4193,200052.000000000000000,35.870064279155187,2 & 3,SW-C1,1A Depressional Mesic,1A,Plain,Low,Low,YES,YES,5.124601000000000,Class 2,2,No,5.124601000000000,1524.000000000000000,145161.000000000000000,403309.7500000,3117361.0000000
4386,200053.000000000000000,35.870064279155187,2 & 3,SW-C1,1A Depressional Mesic,1A,Plain,Low,Low,YES,YES,1.033589000000000,Class 2,2,No,1.033589000000000,1524.000000000000000,145161.000000000000000,403690.7500000,3117361.0000000
10944,114977.000000000000000,35.870064279155187,2 & 3,SJ-IB,1F Xeric Lakes,1F,Ridge,Low,Moderate,YES,YES,13.557052000000001,Class 2,2,No,13.557052000000001,1524.000000000000000,145161.000000000000000,412834.7500000,3161176.0000000
10945,114237.000000000000000,35.870064279155187,2 & 3,SJ-IB,1F Xeric Lakes,1F,Ridge,Low,Moderate,YES,YES,3.902282000000000,Class 2,2,No,3.902282000000000,1524.000000000000000,145161.000000000000000,412834.7500000,3161557.0000000
11246,114978.000000000000000,35.870064279155187,2,SJ-IB,1F Xeric Lakes,1F,Ridge,Low,Moderate,YES,YES,3.377488000000000,Class 2,2,Yes,3.377488000000000,1524.000000000000000,145161.000000000000000,413215.7500000,3161176.0000000
11247,114978.000000000000000,35.870064279155187,2,SJ-IB,1F Xeric Lakes,1F,Ridge,Low,Moderate,YES,YES,0.236955000000000,Class 2,2,Yes,0.236955000000000,1524.000000000000000,145161.000000000000000,413215.7500000,3161176.0000000
11248,114238.000000000000000,35.870064279155187,2,SJ-IB,1F Xeric Lakes,1F,Ridge,Low,Moderate,YES,YES,1.573557000000000,Class 2,2,No,1.573557000000000,1524.000000000000000,145161.000000000000000,413215.7500000,3161557.0000000
12596,223763.000000000000000,35.870064279155187,2 & 3,SW-AB,1A Depressional Mesic,1A,Plain,Low,Moderate,YES,NO,1.076037000000000,Class 2,2,No,1.076037000000000,1524.000000000000000,145161.000000000000000,415120.7500000,3105169.0000000
12597,223023.000000000000000,35.870064279155187,2 & 3,SW-AB,1A Depressional Mesic,1A,Plain,Low,Moderate,YES,NO,2.213961000000000,Class 2,2,No,2.213961000000000,1524.000000000000000,145161.000000000000000,415120.7500000,3105550.0000000
14662,235610.000000000000000,35.870064279155187,2,SW-AC,1A Depressional Mesic,1A,Plain,Low,High,YES,NO,3.230037000000000,Class 2,2,No,3.230037000000000,1524.000000000000000,145161.000000000000000,417787.7500000,3099073.0000000
16292,146815.000000000000000,35.870064279155187,2 & 3,SJ-JC,1A Depressional Mesic,1A,Plain,Moderate,High,YES,YES,17.202542000000001,Class 2,2,No,17.202542000000001,1524.000000000000000,145161.000000000000000,419692.7500000,3144793.0000000
16594,146816.000000000000000,35.870064279155187,2 & 3,SJ-JC,1A Depressional Mesic,1A,Plain,Moderate,High,YES,YES,2.166685000000000,Class 2,2,No,2.166685000000000,1524.000000000000000,145161.000000000000000,420073.7500000,3144793.0000000
17240,115738.000000000000000,35.870064279155187,2,SJ-HX,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,13.121301000000001,Class 2,2,No,13.121301000000001,1524.000000000000000,145161.000000000000000,420835.7500000,3160795.0000000
17241,114998.000000000000000,35.870064279155187,2 & 3,SJ-HX,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,20.470231999999999,Class 2,2,No,20.470231999999999,1524.000000000000000,145161.000000000000000,420835.7500000,3161176.0000000
17242,114258.000000000000000,35.870064279155187,2,SJ-HX,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,0.318884000000000,Class 2,2,No,0.318884000000000,1524.000000000000000,145161.000000000000000,420835.7500000,3161557.0000000
17542,115739.000000000000000,35.870064279155187,2 & 3,SJ-HX,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,14.259544000000000,Class 2,2,No,14.259544000000000,1524.000000000000000,145161.000000000000000,421216.7500000,3160795.0000000
17543,114999.000000000000000,35.870064279155187,2 & 3,SJ-HX,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,13.885052000000000,Class 2,2,No,13.885052000000000,1524.000000000000000,145161.000000000000000,421216.7500000,3161176.0000000
17544,114259.000000000000000,35.870064279155187,2,SJ-HX,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,0.998719000000000,Class 2,2,No,0.998719000000000,1524.000000000000000,145161.000000000000000,421216.7500000,3161557.0000000
17667,246720.000000000000000,35.870064279155187,2,SW-AE,1A Depressional Mesic,1A,Plain,Low,Low,YES,YES,0.478933000000000,Class 2,2,No,0.478933000000000,1524.000000000000000,145161.000000000000000,421597.7500000,3093358.0000000
17969,246721.000000000000000,35.870064279155187,2 & 3,SW-AE,1A Depressional Mesic,1A,Plain,Low,Low,YES,YES,1.423149000000000,Class 2,2,No,1.423149000000000,1524.000000000000000,145161.000000000000000,421978.7500000,3093358.0000000
17979,239321.000000000000000,35.870064279155187,2 & 3,SW-D1,2A-M Large Isolated,2A-M,Plain,Low,Low,YES,NO,2.950136000000000,Class 2,2,No,2.950136000000000,1524.000000000000000,145161.000000000000000,421978.7500000,3097168.0000000
17980,238581.000000000000000,35.870064279155187,2 & 3,SW-D1,2A-M Large Isolated,2A-M,Plain,Low,Low,YES,NO,7.841395000000000,Class 2,2,No,7.841395000000000,1524.000000000000000,145161.000000000000000,421978.7500000,3097549.0000000
18281,239322.000000000000000,35.870064279155187,2,SW-D1,2A-M Large Isolated,2A-M,Plain,Low,Low,YES,NO,13.476039999999999,Class 2,2,No,13.476039999999999,1524.000000000000000,145161.000000000000000,422359.7500000,3097168.0000000
18282,238582.000000000000000,35.870064279155187,2 & 3,SW-D1,2A-M Large Isolated,2A-M,Plain,Low,Low,YES,NO,21.481017999999999,Class 2,2,No,21.481017999999999,1524.000000000000000,145161.000000000000000,422359.7500000,3097549.0000000
18469,100202.000000000000000,35.870064279155187,2 & 3,SJ-HB,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,3.887020000000000,Class 2,2,No,3.887020000000000,1524.000000000000000,145161.000000000000000,422359.7500000,3168796.0000000
18470,99462.000000000000000,35.870064279155187,2 & 3,SJ-HB,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,26.140291999999999,Class 2,2,No,26.140291999999999,1524.000000000000000,145161.000000000000000,422359.7500000,3169177.0000000
18471,98722.000000000000000,35.870064279155187,2,SJ-HB,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,15.288064000000000,Class 2,2,No,15.288064000000000,1524.000000000000000,145161.000000000000000,422359.7500000,3169558.0000000
18472,97982.000000000000000,35.870064279155187,2 & 3,SJ-HB,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,0.485171000000000,Class 2,2,No,0.485171000000000,1524.000000000000000,145161.000000000000000,422359.7500000,3169939.0000000
18584,238583.000000000000000,35.870064279155187,2 & 3,SW-D1,2A-M Large Isolated,2A-M,Plain,High,Moderate,YES,NO,0.144946000000000,Class 2,2,No,0.144946000000000,1524.000000000000000,145161.000000000000000,422740.7500000,3097549.0000000
18762,106863.000000000000000,35.870064279155187,2,SJ-HD,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,9.393668999999999,Class 2,2,No,9.393668999999999,1524.000000000000000,145161.000000000000000,422740.7500000,3165367.0000000
18763,106123.000000000000000,35.870064279155187,2,SJ-HD,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,25.765581999999998,Class 2,2,No,25.765581999999998,1524.000000000000000,145161.000000000000000,422740.7500000,3165748.0000000
18764,105383.000000000000000,35.870064279155187,2,SJ-HD,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,0.063844000000000,Class 2,2,No,0.063844000000000,1524.000000000000000,145161.000000000000000,422740.7500000,3166129.0000000
18766,103903.000000000000000,35.870064279155187,2 & 3,SJ-HC,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,5.406000000000000,Class 2,2,No,5.406000000000000,1524.000000000000000,145161.000000000000000,422740.7500000,3166891.0000000
18767,103163.000000000000000,35.870064279155187,2 & 3,SJ-HC,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,10.312578999999999,Class 2,2,No,10.312578999999999,1524.000000000000000,145161.000000000000000,422740.7500000,3167272.0000000
18771,100203.000000000000000,35.870064279155187,2 & 3,SJ-HB,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,14.293787999999999,Class 2,2,No,14.293787999999999,1524.000000000000000,145161.000000000000000,422740.7500000,3168796.0000000
18772,99463.000000000000000,35.870064279155187,2,SJ-HB,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,26.813987999999998,Class 2,2,No,26.813987999999998,1524.000000000000000,145161.000000000000000,422740.7500000,3169177.0000000
18773,98723.000000000000000,35.870064279155187,2,SJ-HB,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,23.684208999999999,Class 2,2,No,23.684208999999999,1524.000000000000000,145161.000000000000000,422740.7500000,3169558.0000000
18774,97983.000000000000000,35.870064279155187,2,SJ-HB,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,18.676134000000001,Class 2,2,No,18.676134000000001,1524.000000000000000,145161.000000000000000,422740.7500000,3169939.0000000
19064,106864.000000000000000,35.870064279155187,2 & 3,SJ-HD,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,2.177192000000000,Class 2,2,No,2.177192000000000,1524.000000000000000,145161.000000000000000,423121.7500000,3165367.0000000
19065,106124.000000000000000,35.870064279155187,2,SJ-HD,2A-X Isolated Ridges,2A-X,Ridge,Moderate,High,YES,YES,21.368213999999998,Class 2,2,No,21.368213999999998,1524.000000000000000,145161.000000000000000,423121.7500000,3165748.0000000
