"DATE","ALSTON BAY UPLAND SURF","BIG GUM LAKE","Boggy Marsh SJ-LC","BUCK LAKE (HIGHLANDS)","Chapman Marsh SJ-AI","Church Lake SJ-QA","Cocoa 9T","Crooked Lake nr Babson Park","Cypress Creek #190 East Marsh","Cypress Creek BIO-5 Surf","CYPRESS CREEK W-17 UPLAND SURF","CYPRESS CREEK W-33 SURF","GATOR LAKE","GREEN SWAMP 1 UPLAND SURF","GREEN SWAMP 4 UPLAND SURF","GREEN SWAMP 6 UPLAND SURF","GREEN SWAMP 7 WETLAND SURF","GREEN SWAMP BAY UPLAND SURF","GREEN SWAMP L-11K SHALLOW","GREEN SWAMP MARSH UPLAND SURF","Hopkins Prairie SJ-LD","Island Lake SJ-LH","Johns Lake SJ-QB","LAKE ANNIE (HIGHLANDS)","Lake Apshawa SJ-LF","Lake Apthorpe","Lake Avalon SJ-LE","LAKE BONNET (HAINES CITY)","LAKE GARFIELD","Lake Gem SJ-AJ","Lake Leonore (Patrick)","Lake Louisa SJ-LJ","Lake Placid","LAKE STREETY","Lake Sylvan","Lake Van","LAKE WALKER","Long Branch OR0649","Long Lake SJ-QD","NORTHEAST LAKELAND WE-NEL-GG-W SURF","NORTHEAST LAKELAND WE-NEL-J-W SURF","NORTHEAST LAKELAND WE-NEL-K-U SURF","PARKS LAKE","POLECAT LAKE","POLK COUNTY T1-MW","POLK COUNTY T2-MW","POLK COUNTY VF-2MW","Prairie Lake","Red Bug Lake SJ-AW","ROMP 58 SURF AQ MONITOR","SPLITOAK","SURVEYORS LAKE","TB2_GW1","TB2_GW2","Trout Lake SJ-QC","Unnamed Cypress SJ-LA","Unnamed Wetland South of 46","WR11_GW1","WR15_GW1","WR16_GW1","WR6_GW1","WR9_GW1"
2006-01-01,NA,NA,116.79,NA,63.41,85.781,71.4725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.614358974359,80.78,96.55,NA,86.93,NA,90.6390097259063,NA,NA,47.9808974358974,NA,95.94,NA,NA,41.6558041958042,NA,NA,55.33625,66.4821893491124,NA,NA,NA,NA,NA,NA,NA,NA,78.14,68.89,128.41,NA,NA,99.18,99.09,96.94,68.6098461538461,65.7490688259109,65.84,61.57,63.88,62.49,66
2006-01-02,NA,NA,116.79,NA,63.41,85.781,71.4725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5985081585082,80.78,96.55,NA,86.926043956044,NA,90.6335632183908,NA,NA,47.9871794871795,NA,95.94,NA,NA,41.6116618675442,NA,NA,55.3216346153846,66.2943786982248,NA,NA,NA,NA,NA,NA,NA,NA,78.1281538461539,68.8911538461538,128.38,NA,NA,99.17,99.09,96.94,68.5973484162896,65.7102718334297,65.82,61.55,63.85,62.47,66.05
2006-01-03,NA,NA,116.79,NA,63.41,85.781,71.4725,NA,69.583,NA,NA,68.4,NA,NA,NA,NA,NA,NA,NA,NA,27.5875655594406,80.7615384615384,96.55,NA,86.9174725274725,NA,90.6275862068966,NA,NA,47.9864102564103,NA,95.94,NA,104.31,41.6225339366516,NA,NA,55.2814743589744,66.1749704142012,NA,NA,NA,NA,NA,NA,NA,NA,78.1315714285714,68.8907100591716,128.36,NA,NA,99.16,99.08,96.9398224852071,68.6158823529412,65.6853338968724,65.79,61.53,63.82,62.45,66.01
2006-01-04,NA,NA,116.79,91.93,63.41,85.781,71.4725,NA,69.5245384615385,NA,NA,68.3292307692308,NA,NA,NA,NA,NA,NA,NA,NA,27.5788368055556,80.7338888888889,96.55,NA,86.9092307692308,68.64,90.6218390804598,NA,NA,47.9676388888889,NA,95.94,91.98,104.299310344828,41.6282142857143,NA,NA,55.2181944444444,66.4042261904762,NA,NA,NA,NA,NA,NA,NA,NA,78.102987012987,68.8596474358974,128.32,NA,NA,99.15,99.07,96.9226923076923,68.6048717948718,65.6632692307692,65.76,61.49,63.77,62.41,65.93
2006-01-05,NA,NA,116.79,91.9089285714286,63.41,85.781,71.4725,NA,69.4660769230769,NA,NA,68.2584615384615,NA,NA,NA,NA,NA,NA,NA,NA,27.5636601307189,80.7281944444444,96.55,NA,86.9013186813187,68.6332142857143,90.6163218390805,NA,NA,47.9661111111111,NA,95.94,91.97,104.288620689655,41.5548412698413,NA,NA,55.2042361111111,66.3983571428571,NA,NA,NA,NA,NA,NA,NA,NA,78.1293939393939,68.84725,128.3,NA,NA,99.14,99.06,96.895,68.6307692307692,65.63375,65.73,61.43,63.74,62.39,65.94
2006-01-06,NA,NA,116.79,91.8878571428571,63.41,85.781,71.4725,NA,69.4076153846154,NA,NA,68.1876923076923,NA,NA,NA,NA,NA,NA,NA,NA,27.5433600713013,80.7185714285714,96.55,NA,86.8934065934066,68.6264285714286,90.6108045977011,NA,NA,47.9640404040404,NA,95.94,91.96,104.277931034483,41.5642361111111,NA,NA,55.1682638888889,66.3842222222222,NA,NA,NA,NA,NA,NA,NA,NA,78.1163157894737,68.8406176470588,128.29,NA,NA,99.11,99.04,96.8673076923077,68.6676923076923,65.6261538461538,65.7,61.37,63.69,62.36,65.92
2006-01-07,NA,NA,116.79,91.8667857142857,63.41,85.781,71.4725,NA,69.3491538461538,NA,NA,68.1169230769231,NA,NA,NA,NA,NA,NA,NA,NA,27.528449197861,80.6631428571429,96.5495348837209,NA,86.8845054945055,68.6196428571429,90.6045977011494,NA,NA,47.9125454545455,NA,95.9397333333333,91.95,104.26724137931,41.7516111111111,NA,NA,55.084,66.3186031746032,NA,NA,NA,NA,NA,NA,NA,NA,78.0411695906433,68.8206106442577,128.23,NA,NA,99.09,99.01,96.8361538461538,68.5025,65.8691185897436,65.67,61.36,63.65,62.32,65.88
2006-01-08,NA,NA,116.79,91.8457142857143,63.41,85.781,71.4725,NA,69.2906923076923,NA,NA,68.0461538461539,NA,NA,NA,NA,NA,NA,NA,NA,27.5122963800905,80.65,96.5383720930233,NA,86.8752747252747,68.6128571428571,90.595875331565,NA,NA,47.9099300699301,NA,95.9356,91.94,104.256551724138,41.808717948718,NA,NA,55.048,66.2755604395604,NA,NA,NA,NA,NA,NA,NA,NA,78.0332051282051,68.7985714285714,128.19,NA,NA,99.08,99,96.8166666666667,68.4675,65.9457211538462,65.64,61.32,63.61,62.29,65.8
2006-01-09,96.81,NA,116.79,91.8246428571429,63.41,85.781,71.4725,NA,69.2322307692308,NA,NA,67.9753846153846,NA,NA,NA,NA,NA,NA,NA,NA,27.4979142011834,80.65,96.5232558139535,NA,86.8667752842691,68.6060714285714,90.583,NA,NA,47.9034545454545,NA,95.9304,91.93,104.245862068966,41.8253846153846,NA,NA,55.0226593406593,66.2498974358974,NA,NA,NA,NA,NA,NA,NA,NA,78.0203846153846,68.7776923076923,128.16,NA,NA,99.06,98.99,96.8104761904762,68.45,65.9991025641026,65.61,61.27,63.58,62.27,65.79
2006-01-10,96.826,NA,116.78942415933,91.8035714285714,63.41,85.781,71.4725,NA,69.1737692307692,NA,NA,67.9046153846154,NA,NA,NA,NA,NA,NA,NA,NA,27.4777676169984,80.6446153846154,96.5081395348837,NA,86.8583870967742,68.5992857142857,90.57,NA,NA,47.907,NA,95.9252,91.92,104.235172413793,41.695652173913,NA,NA,55.0069368131868,66.2248717948718,NA,NA,NA,NA,NA,NA,NA,NA,78.02,68.77,128.13,NA,NA,99.06,98.98,96.8042857142857,68.4611336032389,65.9111045364892,65.59,61.25,63.56,62.26,65.69
