"","EMT_ID","ERE88","DATE","Value","theta"
"1","SF-N2",63.05,1997-02-15,61.6172727272727,1.43272727272727
"2","SF-LB",63.42,1997-02-15,62.7127272727273,0.707272727272731
"3","SF-N1",63.71,1997-02-15,64.2454545454545,-0.535454545454542
"4","SF-LA",66.6,1997-02-15,66.0436363636364,0.556363636363642
"5","SF-XZ",67.29,1997-02-15,65.755,1.53500000000001
"6","SF-N2",63.05,1997-03-15,61.068,1.982
"7","SF-LB",63.42,1997-03-15,62.434,0.986000000000004
"8","SF-N1",63.71,1997-03-15,63.66,0.0499999999999972
"9","SF-LA",66.6,1997-03-15,65.61,0.990000000000009
"10","SF-XZ",67.29,1997-03-15,65.496,1.79400000000001
"11","SF-N2",63.05,1997-04-15,61.2836842105263,1.76631578947368
"12","SF-LB",63.42,1997-04-15,62.394375,1.025625
"13","SF-N1",63.71,1997-04-15,63.7961111111111,-0.0861111111111157
"14","SF-LA",66.6,1997-04-15,65.7405263157895,0.859473684210528
"15","SF-XZ",67.29,1997-04-15,65.3111111111111,1.97888888888889
"16","SF-N2",63.05,1997-05-15,61.1938709677419,1.85612903225806
"17","SF-LB",63.42,1997-05-15,62.3561290322581,1.06387096774193
"18","SF-N1",63.71,1997-05-15,63.8122580645161,-0.102258064516136
"19","SF-LA",66.6,1997-05-15,65.8761290322581,0.723870967741945
"20","SF-XZ",67.29,1997-05-15,65.2767741935484,2.01322580645162
"21","SF-N2",63.05,1997-06-15,62.2233333333333,0.826666666666661
"22","SF-LB",63.42,1997-06-15,62.6533333333333,0.766666666666666
"23","SF-N1",63.71,1997-06-15,64.8133333333333,-1.10333333333334
"24","SF-LA",66.6,1997-06-15,66.8246666666667,-0.224666666666664
"25","SF-XZ",67.29,1997-06-15,65.5536666666667,1.73633333333333
"26","SF-N2",63.05,1997-07-15,63.1416129032258,-0.0916129032258084
"27","SF-LB",63.42,1997-07-15,63.48,-0.0600000000000023
"28","SF-N1",63.71,1997-07-15,65.6777419354839,-1.96774193548387
"29","SF-LA",66.6,1997-07-15,67.1612903225806,-0.561290322580632
"30","SF-XZ",67.29,1997-07-15,66.2290322580645,1.06096774193549
"31","SF-N2",63.05,1997-08-15,63.2306451612903,-0.180645161290329
"32","SF-LB",63.42,1997-08-15,64.2032258064516,-0.783225806451611
"33","SF-N1",63.71,1997-08-15,65.6116129032258,-1.90161290322581
"34","SF-LA",66.6,1997-08-15,67.4667741935484,-0.86677419354838
"35","SF-XZ",67.29,1997-08-15,67.3470967741935,-0.0570967741935391
"36","SF-N2",63.05,1997-09-15,61.7276666666667,1.32233333333333
"37","SF-LB",63.42,1997-09-15,63.005,0.414999999999999
"38","SF-N1",63.71,1997-09-15,64.3773333333333,-0.667333333333346
"39","SF-LA",66.6,1997-09-15,66.4666666666667,0.13333333333334
"40","SF-XZ",67.29,1997-09-15,66.3236666666667,0.966333333333338
"41","SF-N2",63.05,1997-10-15,61.2406451612903,1.80935483870967
"42","SF-LB",63.42,1997-10-15,62.5706451612903,0.849354838709679
"43","SF-N1",63.71,1997-10-15,64.0196774193548,-0.309677419354841
"44","SF-LA",66.6,1997-10-15,65.9796774193548,0.620322580645166
"45","SF-XZ",67.29,1997-10-15,65.831935483871,1.45806451612904
"46","SF-N2",63.05,1997-11-15,62.7366666666667,0.313333333333333
"47","SF-LB",63.42,1997-11-15,63.84,-0.420000000000002
"48","SF-N1",63.71,1997-11-15,65.224,-1.51400000000001
"49","SF-LA",66.6,1997-11-15,67.0916666666667,-0.49166666666666
"50","SF-XZ",67.29,1997-11-15,66.8396666666667,0.450333333333347
"51","SF-N2",63.05,1997-12-15,63.3341935483871,-0.284193548387101
