delta,ZRPu,ZPPu,ZRPs,ZPPs
-15,0.936796082,0.998632692,0.265326644,0.000264862
-14.99,0.9364675,0.998647357,0.265970105,0.000289035
-14.98,0.936135995,0.99866324,0.26661382,0.000312638
-14.97,0.935801588,0.998680261,0.267257787,0.000335692
-14.96,0.935464302,0.998698343,0.267902004,0.000358214
-14.95,0.935124157,0.99871741,0.26854647,0.000380221
-14.94,0.934781175,0.998737388,0.269191183,0.000401733
-14.93,0.934435376,0.998758204,0.269836141,0.000422765
-14.92,0.93408678,0.99877979,0.270481343,0.000443335
-14.91,0.933735406,0.998802075,0.271126785,0.000463461
-14.9,0.933381275,0.998824994,0.271772467,0.000483158
-14.89,0.933024403,0.998848481,0.272418387,0.000502443
-14.88,0.932664811,0.998872474,0.273064542,0.000521331
-14.87,0.932302516,0.99889691,0.273710931,0.000539839
-14.86,0.931937535,0.99892173,0.274357551,0.000557983
-14.85,0.931569885,0.998946875,0.2750044,0.000575776
-14.84,0.931199584,0.99897229,0.275651478,0.000593236
-14.83,0.930826648,0.998997918,0.27629878,0.000610375
-14.82,0.930451093,0.999023707,0.276946306,0.000627209
-14.81,0.930072934,0.999049604,0.277594052,0.000643752
-14.8,0.929692187,0.999075559,0.278242018,0.000660018
-14.79,0.929308866,0.999101522,0.278890201,0.000676021
-14.78,0.928922986,0.999127448,0.279538598,0.000691774
-14.77,0.928534562,0.999153288,0.280187208,0.000707292
-14.76,0.928143608,0.999179,0.280836029,0.000722586
-14.75,0.927750136,0.999204539,0.281485057,0.000737671
-14.74,0.927354159,0.999229863,0.282134291,0.000752558
-14.73,0.926955692,0.999254932,0.282783728,0.000767261
-14.72,0.926554746,0.999279707,0.283433367,0.000781791
-14.71,0.926151333,0.99930415,0.284083204,0.000796161
-14.7,0.925745465,0.999328224,0.284733238,0.000810383
-14.69,0.925337155,0.999351893,0.285383467,0.000824469
-14.68,0.924926412,0.999375124,0.286033887,0.00083843
-14.67,0.924513248,0.999397882,0.286684496,0.000852277
-14.66,0.924097673,0.999420138,0.287335293,0.000866022
-14.65,0.923679698,0.999441859,0.287986274,0.000879675
-14.64,0.923259333,0.999463016,0.288637438,0.000893248
-14.63,0.922836588,0.999483582,0.289288781,0.000906751
-14.62,0.922411471,0.999503527,0.289940302,0.000920195
-14.61,0.921983992,0.999522827,0.290591997,0.00093359
-14.6,0.92155416,0.999541457,0.291243865,0.000946946
-14.59,0.921121983,0.99955939,0.291895902,0.000960273
-14.58,0.92068747,0.999576606,0.292548107,0.000973581
-14.57,0.920250628,0.999593081,0.293200477,0.00098688
-14.56,0.919811466,0.999608795,0.293853008,0.001000179
-14.55,0.919369991,0.999623727,0.2945057,0.001013488
-14.54,0.91892621,0.999637858,0.295158548,0.001026815
-14.53,0.91848013,0.999651169,0.295811551,0.00104017
-14.52,0.918031757,0.999663643,0.296464706,0.001053562
-14.51,0.917581099,0.999675264,0.29711801,0.001067
-14.5,0.917128162,0.999686015,0.297771461,0.001080492
-14.49,0.91667295,0.999695883,0.298425055,0.001094047
-14.48,0.916215471,0.999704852,0.299078791,0.001107673
-14.47,0.91575573,0.999712909,0.299732666,0.001121378
-14.46,0.915293732,0.999720042,0.300386677,0.001135171
-14.45,0.914829482,0.99972624,0.30104082,0.00114906
-14.44,0.914362985,0.999731491,0.301695095,0.001163052
-14.43,0.913894245,0.999735785,0.302349497,0.001177156
-14.42,0.913423268,0.999739112,0.303004025,0.001191379
-14.41,0.912950057,0.999741464,0.303658674,0.001205728
-14.4,0.912474615,0.999742833,0.304313444,0.001220212
-14.39,0.911996948,0.999743211,0.30496833,0.001234836
-14.38,0.911517059,0.999742592,0.305623331,0.00124961
-14.37,0.91103495,0.999740968,0.306278443,0.001264539
-14.36,0.910550626,0.999738336,0.306933664,0.001279631
-14.35,0.910064088,0.999734689,0.30758899,0.001294893
-14.34,0.909575341,0.999730023,0.308244419,0.001310331
-14.33,0.909084387,0.999724335,0.308899949,0.001325952
-14.32,0.908591227,0.999717621,0.309555576,0.001341764
-14.31,0.908095865,0.999709879,0.310211297,0.001357772
-14.3,0.907598302,0.999701107,0.310867111,0.001373983
-14.29,0.907098541,0.999691302,0.311523013,0.001390403
-14.28,0.906596583,0.999680465,0.312179001,0.001407039
-14.27,0.90609243,0.999668593,0.312835072,0.001423897
-14.26,0.905586083,0.999655688,0.313491224,0.001440982
-14.25,0.905077543,0.999641748,0.314147453,0.001458302
-14.24,0.904566812,0.999626776,0.314803756,0.001475862
-14.23,0.904053891,0.999610771,0.315460132,0.001493668
-14.22,0.90353878,0.999593737,0.316116576,0.001511726
-14.21,0.90302148,0.999575674,0.316773086,0.001530041
-14.2,0.902501991,0.999556585,0.317429659,0.00154862
-14.19,0.901980315,0.999536472,0.318086292,0.001567468
-14.18,0.901456451,0.99951534,0.318742982,0.00158659
-14.17,0.900930399,0.999493191,0.319399727,0.001605992
-14.16,0.90040216,0.999470029,0.320056522,0.00162568
-14.15,0.899871733,0.999445858,0.320713367,0.001645658
-14.14,0.899339118,0.999420683,0.321370256,0.001665933
-14.13,0.898804314,0.999394508,0.322027188,0.00168651
-14.12,0.898267322,0.999367338,0.32268416,0.001707393
-14.11,0.89772814,0.99933918,0.323341168,0.001728588
-14.1,0.897186767,0.999310037,0.32399821,0.0017501
-14.09,0.896643203,0.999279916,0.324655283,0.001771935
-14.08,0.896097447,0.999248824,0.325312383,0.001794097
-14.07,0.895549498,0.999216766,0.325969508,0.001816591
-14.06,0.894999354,0.999183749,0.326626655,0.001839422
